min_confidence,precision_A,recall_A,distance_pc_A,precision_Z,recall_Z,distance_pc_Z,precision_G,recall_G,distance_pc_G,precision_D,recall_D,distance_pc_D
0,41.74871575342466,100.0,15.316352739726028,41.74871575342466,100.0,15.316352739726028,41.74871575342466,100.0,15.316352739726028,41.74871575342466,100.0,15.316352739726028
1,41.82032590051458,99.59152412560634,15.290094339622641,41.74871575342466,100.0,15.316352739726028,70.5451743402042,46.858605246321176,6.588133307647852,46.728857248066774,76.07913669064749,13.717687492328464
2,42.28726287262873,97.03980099502488,15.048563685636857,41.78001499410946,99.82088024564995,15.311020670450894,71.10118469605749,46.60132382892057,6.377549038648281,46.77478805750092,75.95770151636073,13.69074824917066
3,42.927903137039074,93.77254147631642,14.72085855806274,42.08198489751888,98.13836477987421,15.166666666666666,71.57380254154447,46.40050697084918,6.21427174975562,46.924688771108094,75.56570067487098,13.62282756070504
4,43.869516310461194,89.57280661460726,14.374690663667042,42.56247953726945,95.56481254594462,14.945869256793626,71.939477303989,46.24810510358767,6.083513460404794,47.116336633663366,75.0739499112601,13.517574257425743
5,44.63263904783704,86.55126498002663,13.981231403067063,43.18936877076412,92.5486473659231,14.65514950166113,72.13793103448276,46.166456494325345,6.013399014778325,47.48066849588426,74.16715371127995,13.368421052631579
6,45.662100456621005,82.92579204762917,13.465870506966397,44.40396219970397,87.42434431741762,14.13936012751907,72.3837784371909,46.036738802214394,5.924826904055391,48.00151305005674,72.93103448275862,13.099987391249527
7,46.89190813995431,79.15567282321899,12.986052663219912,45.401629802095464,83.79888268156425,13.726542491268917,72.62802699483922,45.93848085373509,5.842993251290195,48.4351145038168,71.95237195237195,12.92735368956743
8,48.142204666090606,75.8312269103636,12.402049129737069,46.828447861605,79.25986173241155,13.13839500240269,72.93577981651376,45.78690371854263,5.717191862784205,48.87034659820282,71.01287073307219,12.75584082156611
9,50.160771704180064,71.31102578167855,11.88475884244373,47.91052114060964,76.34155895025461,12.676868239921337,73.14,45.70678665166854,5.6492,49.42871981303558,69.86603046430537,12.540119449493638
10,51.51234975564655,68.74669487043892,11.431250825518426,49.479563340949476,72.6696495152871,12.111576542269612,73.3159582999198,45.63833770123549,5.5856054530874095,49.96718729492059,68.8177874186551,12.323795773723585
11,52.831978319783204,66.50179089203479,10.887127371273714,55.14997170345218,63.13573048266926,10.648698358800226,73.6259311455607,45.519044062733386,5.498892691765653,50.82777036048064,67.24960254372019,12.13845126835781
