min_confidence,precision_exp,recall_exp,distance_pc_exp
-3.0,61.111111111111114,100.0,6.055555555555555
-2.9,61.111111111111114,100.0,6.055555555555555
-2.8,61.111111111111114,100.0,6.055555555555555
-2.7,61.111111111111114,100.0,6.055555555555555
-2.6,61.111111111111114,100.0,6.055555555555555
-2.5,61.111111111111114,100.0,6.055555555555555
-2.4,61.111111111111114,100.0,6.055555555555555
-2.3,61.111111111111114,100.0,6.055555555555555
-2.2,61.111111111111114,100.0,6.055555555555555
-2.1,61.111111111111114,100.0,6.055555555555555
-2.0,61.111111111111114,100.0,6.055555555555555
-1.9,61.111111111111114,100.0,6.055555555555555
-1.8,61.111111111111114,100.0,6.055555555555555
-1.7,61.111111111111114,100.0,6.055555555555555
-1.6,61.111111111111114,100.0,6.055555555555555
-1.5,61.111111111111114,100.0,6.055555555555555
-1.4,61.111111111111114,100.0,6.055555555555555
-1.3,61.111111111111114,100.0,6.055555555555555
-1.2,61.111111111111114,100.0,6.055555555555555
-1.1,61.111111111111114,100.0,6.055555555555555
-1.0,64.70588235294117,91.66666666666666,4.294117647058823
-0.9,68.75,84.61538461538461,3.625
-0.8,68.75,84.61538461538461,3.625
-0.7,73.33333333333333,78.57142857142857,0.8666666666666667
-0.6,73.33333333333333,78.57142857142857,0.8666666666666667
-0.5,73.33333333333333,78.57142857142857,0.8666666666666667
-0.4,73.33333333333333,78.57142857142857,0.8666666666666667
-0.3,73.33333333333333,78.57142857142857,0.8666666666666667
-0.2,78.57142857142857,73.33333333333333,0.7857142857142857
-0.1,78.57142857142857,73.33333333333333,0.7857142857142857
0.0,78.57142857142857,73.33333333333333,0.7857142857142857
0.1,78.57142857142857,73.33333333333333,0.7857142857142857
0.2,84.61538461538461,68.75,0.7692307692307693
0.3,84.61538461538461,68.75,0.7692307692307693
0.4,83.33333333333334,62.5,0.8333333333333334
0.5,83.33333333333334,62.5,0.8333333333333334
0.6,83.33333333333334,62.5,0.8333333333333334
0.7,83.33333333333334,62.5,0.8333333333333334
0.8,81.81818181818183,56.25,0.9090909090909091
0.9,80.0,50.0,1.0
1.0,88.88888888888889,47.05882352941176,1.0
1.1,0.0,0.0,9.0
1.2,0.0,0.0,9.0
1.3,0.0,0.0,
1.4,0.0,0.0,
1.5,0.0,0.0,
1.6,0.0,0.0,
1.7,0.0,0.0,
1.8,0.0,0.0,
1.9,0.0,0.0,
2.0,0.0,0.0,
2.1,0.0,0.0,
2.2,0.0,0.0,
2.3,0.0,0.0,
2.4,0.0,0.0,
2.5,0.0,0.0,
2.6,0.0,0.0,
2.7,0.0,0.0,
2.8,0.0,0.0,
2.9,0.0,0.0,
3.0,0.0,0.0,
3.1,0.0,0.0,
3.2,0.0,0.0,
3.3,0.0,0.0,
3.4,0.0,0.0,
3.5,0.0,0.0,
3.6,0.0,0.0,
3.7,0.0,0.0,
3.8,0.0,0.0,
3.9,0.0,0.0,
4.0,0.0,0.0,
