Confidence,DoriC oriCs found,Z_oriCs that found a DoriC oriC,Distance_bp,Distance_percentage,Total_DoriCs,Total_ZoriCs,Organisms with a ZoriC
0,91.59,40.66,43679,1.22,1640,2939,1322
10,90.79,44.46,49773,1.36,1640,2661,1322
20,88.17,56.94,79446,2.19,1640,2011,1312
30,81.95,73.30,95833,2.49,1640,1442,1203
40,77.74,80.97,85236,2.31,1640,1240,1121
50,73.41,85.88,83993,2.21,1640,1098,1051
60,63.35,92.82,54221,1.54,1640,878,878
70,58.72,94.23,45050,1.27,1640,797,797
80,52.38,95.82,37739,1.02,1640,694,694
90,49.09,96.45,32247,0.90,1640,647,647
100,49.09,96.45,32247,0.90,1640,647,647
