Confidence,DoriC oriCs found,Z_oriCs that found a DoriC oriC,Distance_bp,Distance_percentage,Total_DoriCs,Total_ZoriCs,Organisms with a ZoriC
0,95.10,57.96,35941,0.93,1265,1620,994
10,94.94,60.53,38366,0.97,1265,1548,994
20,94.70,70.49,50723,1.16,1265,1325,994
30,92.65,83.73,63456,1.36,1265,1088,971
40,90.12,88.90,56707,1.30,1265,1000,942
50,88.14,92.63,53486,1.27,1265,936,917
60,79.68,95.28,39864,1.10,1265,827,827
70,74.55,95.44,37478,1.05,1265,768,768
80,67.35,95.78,37833,1.02,1265,687,687
90,63.64,96.45,32247,0.90,1265,647,647
100,63.64,96.45,32247,0.90,1265,647,647
