Confidence,DoriC oriCs found,Z_oriCs that found a DoriC oriC,Distance_bp,Distance_percentage,Total_DoriCs,Total_ZoriCs,Organisms with a ZoriC
0,79.73,19.41,69781,2.17,375,1319,328
10,76.80,22.10,88255,2.68,375,1113,328
20,66.13,30.76,178992,5.73,375,686,318
30,45.87,41.24,244959,7.70,375,354,232
40,36.00,47.92,250485,8.20,375,240,179
50,23.73,46.91,313192,9.24,375,162,134
60,8.27,52.94,306193,9.48,375,51,51
70,5.33,62.07,263946,7.38,375,29,29
80,1.87,100.00,25755,0.90,375,7,7
90,,,,,,0
100,,,,,,0
