BioSample	Assembly
SAMD00275791	
SAMD00275772	
SAMD00275768	
SAMD00166686	GCF_008635785.1
SAMD00166594	
SAMD00166593	
SAMEA14107389	
SAMN04880532	GCF_002094405.3 GCF_002094405.2 GCF_002094405.1
SAMD00166592	
SAMN02742771	GCF_000734955.1
SAMN04576523	GCF_001617545.1
SAMN04157986	GCF_001593665.2 GCF_001593665.1
SAMEA4852729	GCF_900573445.1
SAMEA4786459	
SAMEA35194168	GCF_900149875.1
SAMEA35192668	GCF_900149915.1
SAMEA3865288	GCF_000786425.1
SAMEA3865278	GCF_000967155.2 GCF_000967155.1
SAMEA3258058	GCF_001013905.1
SAMEA3283068	GCF_000006965.1
SAMEA3143339	GCF_000981485.1
SAMEA2272019	GCF_000285655.2 GCF_000285655.1 GCF_000285655.3
SAMEA1705959	GCF_000026545.1
SAMEA1705958	GCF_000009345.1
SAMEA103916785	
SAMEA2272791	GCF_000318585.1
SAMEA2272774	GCF_000318565.1
SAMEA2272765	GCF_000318805.1
SAMEA2272732	GCF_000318665.1
SAMEA2272716	GCF_000319005.1
SAMEA2272713	GCF_000319165.1
SAMEA2272680	GCF_000318705.1
SAMEA2272666	GCF_000318525.1
SAMEA2272637	GCF_000318905.1
SAMEA2272614	GCF_000319125.1
SAMEA2272565	GCF_000318625.1
SAMEA2272496	GCF_000319085.1
SAMEA2272426	GCF_000026585.1
SAMEA2272379	GCF_000318945.1
SAMEA2272374	GCF_000318865.1
SAMEA2272341	GCF_000318685.1
SAMEA2272333	GCF_000319065.1
SAMEA2272296	GCF_000318765.1
SAMEA2272284	GCF_000318545.1
SAMEA2272281	GCF_000318985.1
SAMEA2272237	GCF_000210475.1
SAMEA2272228	GCF_000319025.1
SAMEA2272225	GCF_000319145.1
SAMEA2272184	GCF_000318645.1
SAMEA2272107	GCF_000319105.1
SAMEA2272096	GCF_000318925.1
SAMEA2272062	GCF_000318605.1
SAMEA2272048	GCF_000318785.1
SAMEA2271980	GCF_000318965.1
SAMEA2271978	GCF_000318845.1
SAMEA2271946	GCF_000318745.1
SAMEA2271925	GCF_000319045.1
SAMN02604339	GCF_000186005.1
SAMN14225665	
SAMN14224666	
SAMN14225636	
SAMN14224794	
SAMN04955031	GCF_002078895.1
SAMN04954999	GCF_002078375.2 GCF_002078375.1
SAMN14229506	
SAMN14228128	
SAMN14226023	
SAMN14225971	
SAMN14225969	
SAMN05877047	
SAMN03445855	GCF_002949735.1
SAMN03354403	GCF_002949795.1
SAMN06309456	GCF_002210025.1
SAMN14229431	
SAMN17808124	
SAMN14229448	
SAMN14225760	
SAMN14226114	
SAMN14224510	
SAMN14225903	
SAMN14225752	
SAMN14225614	
SAMN14224251	
SAMN14228866	
SAMN14224783	
SAMN14229467	
SAMN14225604	
SAMN14225329	
SAMN14224760	
SAMN14224451	
SAMN14224793	
SAMN14229674	
SAMN14229673	
SAMN14229672	
SAMN14229671	
SAMN14229670	
SAMN14229669	
SAMN14229654	
SAMN14229579	
SAMN14229556	
SAMN14229555	
SAMN14229554	
SAMN14229540	
SAMN14229504	
SAMN14229503	
SAMN14229500	
SAMN14229478	
SAMN14229477	
SAMN14229476	
SAMN14229475	
SAMN14229474	
SAMN14229469	
SAMN14229460	
SAMN14229459	
SAMN14229454	
SAMN14229453	
SAMN14229438	
SAMN14229430	
SAMN14229421	
SAMN14229396	
SAMN14229386	
SAMN14229349	
SAMN14229345	
SAMN14229341	
SAMN14229311	
SAMN14229288	
SAMN14229278	
SAMN14229266	
SAMN14229251	
SAMN14229248	
SAMN14229208	
SAMN14229198	
SAMN14229157	
SAMN14229156	
SAMN14229155	
SAMN14229154	
SAMN14229153	
SAMN14228994	
SAMN14228993	
SAMN14228992	
SAMN14228991	
SAMN14228935	
SAMN14228835	
SAMN14228825	
SAMN14228824	
SAMN14228823	
SAMN14228822	
SAMN14228815	
SAMN14228803	
SAMN14228797	
SAMN14228795	
SAMN14228790	
SAMN14228787	
SAMN14228745	
SAMN14228737	
SAMN14228546	
SAMN14228502	
SAMN14228394	
SAMN14228244	
SAMN14228205	
SAMN14228136	
SAMN14228135	
SAMN14228134	
SAMN14228133	
SAMN14228132	
SAMN14228131	
SAMN14228130	
SAMN14228096	
SAMN14228092	
SAMN14228091	
SAMN14228081	
SAMN14228074	
SAMN14228064	
SAMN14228063	
SAMN14228062	
SAMN14228057	
SAMN14228056	
SAMN14227796	
SAMN14227795	
SAMN14227777	
SAMN14227731	
SAMN14227711	
SAMN14227697	
SAMN14227616	
SAMN14227601	
SAMN14227520	
SAMN14227516	
SAMN14227331	
SAMN14227306	
SAMN14227236	
SAMN14227151	
SAMN14227137	
SAMN14227136	
SAMN14227135	
SAMN14227013	
SAMN14226990	
SAMN14226840	
SAMN14226831	
SAMN14226793	
SAMN14226756	
SAMN14226731	
SAMN14226715	
SAMN14226685	
SAMN14226656	
SAMN14226571	
SAMN14226540	
SAMN14226508	
SAMN14226497	
SAMN14226495	
SAMN14226396	
SAMN14226395	
SAMN14226357	
SAMN14226322	
SAMN14226317	
SAMN14226300	
SAMN14226269	
SAMN14226247	
SAMN14226161	
SAMN14226160	
SAMN14226159	
SAMN14226150	
SAMN14226149	
SAMN14226134	
SAMN14226127	
SAMN14226109	
SAMN14226099	
SAMN14226094	
SAMN14226066	
SAMN14226058	
SAMN14226057	
SAMN14226022	
SAMN14225983	
SAMN14225982	
SAMN14225943	
SAMN14225942	
SAMN14225904	
SAMN14225889	
SAMN14225888	
SAMN14225887	
SAMN14225885	
SAMN14225884	
SAMN14225769	
SAMN14225767	
SAMN14225750	
SAMN14225727	
SAMN14225726	
SAMN14225723	
SAMN14225722	
SAMN14225716	
SAMN14225699	
SAMN14225695	
SAMN14225678	
SAMN14225664	
SAMN14225642	
SAMN14225631	
SAMN14225626	
SAMN14225625	
SAMN14225623	
SAMN14225600	
SAMN14225599	
SAMN14225594	
SAMN14225593	
SAMN14225583	
SAMN14225582	
SAMN14225576	
SAMN14225575	
SAMN14225568	
SAMN14225557	
SAMN14225543	
SAMN14225541	
SAMN14225536	
SAMN14225531	
SAMN14225511	
SAMN14225471	
SAMN14225388	
SAMN14225385	
SAMN14225384	
SAMN14225356	
SAMN14225351	
SAMN14225350	
SAMN14225347	
SAMN14225346	
SAMN14225345	
SAMN14225339	
SAMN14225304	
SAMN14225293	
SAMN14225292	
SAMN14225287	
SAMN14225285	
SAMN14225283	
SAMN14225281	
SAMN14225274	
SAMN14224827	
SAMN14224823	
SAMN14224822	
SAMN14224820	
SAMN14224818	
SAMN14224812	
SAMN14224802	
SAMN14224796	
SAMN14224795	
SAMN14224787	
SAMN14224786	
SAMN14224774	
SAMN14224750	
SAMN14224749	
SAMN14224742	
SAMN14224740	
SAMN14224733	
SAMN14224732	
SAMN14224726	
SAMN14224725	
SAMN14224718	
SAMN14224715	
SAMN14224713	
SAMN14224708	
