RefSeq,Organism,Lineage,DoriC_oriC_0,DoriC_oriC_1,DoriC_oriC_2,DoriC_oriC_3,Sequence_length,GC_Concentration,Time,oriC_middles_0,oriC_middles_1,oriC_middles_2,oriC_middles_3,oriC_middles_4,oriC_middles_5,oriC_middles_6,oriC_middles_7,oriC_middles_8,oriC_middles_9,Avg_Occurance_oriC_0,Avg_Occurance_oriC_1,Avg_Occurance_oriC_2,Avg_Occurance_oriC_3,Avg_Occurance_oriC_4,Avg_Occurance_oriC_5,Avg_Occurance_oriC_6,Avg_Occurance_oriC_7,Avg_Occurance_oriC_8,Avg_Occurance_oriC_9,Z_Occurance_oriC_0,Z_Occurance_oriC_1,Z_Occurance_oriC_2,Z_Occurance_oriC_3,Z_Occurance_oriC_4,Z_Occurance_oriC_5,Z_Occurance_oriC_6,Z_Occurance_oriC_7,Z_Occurance_oriC_8,Z_Occurance_oriC_9,G_A_Occurance_oriC_0,G_A_Occurance_oriC_1,G_A_Occurance_oriC_2,G_A_Occurance_oriC_3,G_A_Occurance_oriC_4,G_A_Occurance_oriC_5,G_A_Occurance_oriC_6,G_A_Occurance_oriC_7,G_A_Occurance_oriC_8,G_A_Occurance_oriC_9,G_N_Occurance_oriC_0,G_N_Occurance_oriC_1,G_N_Occurance_oriC_2,G_N_Occurance_oriC_3,G_N_Occurance_oriC_4,G_N_Occurance_oriC_5,G_N_Occurance_oriC_6,G_N_Occurance_oriC_7,G_N_Occurance_oriC_8,G_N_Occurance_oriC_9,D_Occurance_oriC_0,D_Occurance_oriC_1,D_Occurance_oriC_2,D_Occurance_oriC_3,D_Occurance_oriC_4,D_Occurance_oriC_5,D_Occurance_oriC_6,D_Occurance_oriC_7,D_Occurance_oriC_8,D_Occurance_oriC_9,Prediction_oriC_0,Prediction_oriC_1,Prediction_oriC_2,Prediction_oriC_3,Prediction_oriC_4,Prediction_oriC_5,Prediction_oriC_6,Prediction_oriC_7,Prediction_oriC_8,Prediction_oriC_9
NC_011833,Buchnera aphidicola str. 5A (Acyrthosiphon pisum),"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Buchnera","(641883.0, 196.0)",,,,642122,0.262856591115084,"(30.070176601409912, 0.2151789665222168, 36.041643381118774)",448648,638420.0,,,,,,,,,0.5227272727272727,0.4772727272727273,,,,,,,,,0.0909090909090909,0.9090909090909092,,,,,,,,,1.0,0.0,,,,,,,,,1.0,0.0,,,,,,,,,0.0,1.0,,,,,,,,,-1.465963150775343,0.9936090066793726,,,,,,,,
NC_018149,Mycoplasma wenyonii str. Massachusetts chromosome,"Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(650129.0, 174.0)",,,,650228,0.3392225496287456,"(39.00572061538696, 0.16875576972961426, 45.536529302597046)",476094,639868.0,131718.0,395684.0,322951.0,561806.0,,,,,0.1401515151515151,0.125,0.1098484848484848,0.0643939393939393,0.053030303030303,0.0075757575757575,,,,,0.0606060606060606,0.3333333333333333,0.2727272727272727,0.0909090909090909,0.2121212121212121,0.0303030303030303,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.5,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.0,,,,,-0.6042374821889125,-1.0564320118063988,-1.185219606814931,-1.0226924716644048,-1.0089143319874465,-1.105506044422546,,,,
NC_004545,Buchnera aphidicola str. Bp (Baizongia pistaciae),"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Buchnera","(1.0, 468.0)",,,,615980,0.2534140718854508,"(40.0488395690918, 0.2331395149230957, 46.918941259384155)",407334,614506.0,,,,,,,,,0.7777777777777778,0.2222222222222222,,,,,,,,,0.1111111111111111,0.8888888888888888,,,,,,,,,1.0,0.0,,,,,,,,,1.0,0.0,,,,,,,,,1.0,0.0,,,,,,,,,-1.3055341016994917,1.0227674286061672,,,,,,,,
NC_022124,Prevotella sp. oral taxon 299 str. F0039,"Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella","(709311.0, 709509.0)",,,,709850,0.3795125730788194,"(46.677918672561646, 0.24718952178955078, 53.67917442321777)",322723,539054.0,150059.0,577961.0,73019.0,7771.0,,,,,0.3987854251012145,0.1886925151141854,0.1645636278693145,0.1578092376623832,0.1428851365102302,0.0910931174089068,,,,,0.3846153846153846,0.0769230769230769,0.0769230769230769,0.1538461538461538,0.1538461538461538,0.1538461538461538,,,,,1.0,0.5199522466915594,0.4517767786837359,0.3964191368843506,0.2071680764052935,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.2105263157894736,0.2105263157894736,0.2105263157894736,0.1578947368421052,0.1578947368421052,0.0526315789473684,,,,,-1.1343181269943072,-1.0488401833944665,-1.075671291963536,-1.0940936972782451,-1.1676869060024642,-1.0628392506154027,,,,
NC_016025,Candidatus Chloracidobacterium thermophilum B chromosome chromosome 2,"Bacteria, Acidobacteria, Candidatus Chloracidobacterium","(802.0, 1105.0)",,,,1012010,0.6124316953389789,"(48.60837697982788, 0.2910604476928711, 56.58672785758972)",1003817,914720.0,102179.0,207235.0,487941.0,,,,,,0.3823529411764705,0.0441176470588235,0.0441176470588235,0.0147058823529411,0.0147058823529411,,,,,,0.5294117647058824,0.1764705882352941,0.1764705882352941,0.0588235294117647,0.0588235294117647,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,1.1403918118251768,-1.009374158456174,-1.009374158456174,-1.0359141557738012,-1.0359141557738012,,,,,
NC_021219,Candidatus Saccharimonas aalborgensis,"Bacteria, Candidatus Saccharibacteria, Candidatus Saccharimonas","(520783.0, 521242.0)",,,,1013781,0.4851383089641648,"(50.34327960014343, 0.2685096263885498, 58.3313729763031)",532568,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,0.9999993390080022,,,,,,,,,
NC_005303,Onion yellows phytoplasma OY-M,"Bacteria, Tenericutes, Mollicutes, Acholeplasmatales, Acholeplasmataceae, Candidatus Phytoplasma, Candidatus Phytoplasma asteris","(852063.0, 853092.0)",,,,853092,0.2775984301810356,"(56.752583265304565, 0.3304290771484375, 65.40216445922852)",337783,529702.0,429755.0,203261.0,613245.0,718465.0,92479.0,835397.0,,,0.3034045433105442,0.2732504501282142,0.2666666666666666,0.1922148661313984,0.1869138304218991,0.1114599483377864,0.0901007613370978,0.0782828282828282,,,0.1555555555555555,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.1333333333333333,0.2,0.0888888888888888,0.2222222222222222,,,0.7853353449593484,0.7536078611189176,1.0,0.4537079493740786,0.5476553216875965,0.2882640357753881,0.1806050655504114,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.2727272727272727,0.2727272727272727,0.1818181818181818,0.0,0.0,0.0909090909090909,0.0909090909090909,0.0909090909090909,,,-1.0384105024336832,-1.007576611454246,-1.019352764395924,-1.0923382999989055,-1.119599821285865,-1.2307057739634983,-1.01380673381731,-1.1668797975011016,,
NC_018413,Mycoplasma gallisepticum NC08_2008.031-4-3P chromosome,"Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(926629.0, 1886.0)",,,,926650,0.3159423730642637,"(59.37765908241272, 0.31783390045166016, 68.63151597976685)",838713,926525.0,242648.0,478698.0,,,,,,,0.175,0.1535714285714285,0.1178571428571428,0.0535714285714285,,,,,,,0.5,0.2142857142857142,0.2142857142857142,0.0714285714285714,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.2,0.4,0.4,0.0,,,,,,,-0.1481621159265869,-0.9375633491314288,-0.9375633491314288,-1.0174921127968928,,,,,,
NC_017503,Mycoplasma gallisepticum str. F chromosome,"Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(977591.0, 1885.0)",,,,977612,0.3139589121246466,"(60.36557102203369, 0.35138893127441406, 69.63029646873474)",964919,573943.0,877785.0,173867.0,,,,,,,0.1694444444444444,0.1444444444444444,0.0944444444444444,0.0916666666666666,,,,,,,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.1666666666666666,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.4,0.3,0.1,0.2,,,,,,,-0.6803925433838371,-0.9943301157772936,-1.16100528837716,-1.1562267333802565,,,,,,
NC_002936,Dehalococcoides ethenogenes 195,"Bacteria, Chloroflexi, Dehalococcoidetes, Dehalococcoides","(1599.0, 1923.0)",,,,1469720,0.4885025719184606,"(64.49238085746765, 0.381976842880249, 74.95692372322083)",842699,1710.0,987594.0,1299062.0,,,,,,,0.5072172796779664,0.4230769230769231,0.2932038881987699,0.2535579517207111,,,,,,,0.0769230769230769,0.0769230769230769,0.6923076923076923,0.1538461538461538,,,,,,,1.0,0.0,0.768969398948926,0.2723432955763049,,,,,,,0.7019460417887888,1.0,0.0,0.1649654343834627,,,,,,,0.0,0.25,0.25,0.5,,,,,,,-1.4538832289763646,-1.0508835194243231,-1.0698968315905744,-0.824542835959724,,,,,,
