RefSeq,D_idx,Distance_bp,Distance_pc
NC_000908,0,603,0
NC_003103,0,22571,1
NC_017360,0,67743,4
NC_017360,1,66189,4
NC_022886,0,51747,3
NC_022886,1,53305,3
NC_017040,0,4953,0
NC_017040,1,3405,0
NC_008816,0,10503,0
NZ_CP023769,0,4334,0
NZ_CP023769,1,2786,0
NZ_LT714196,0,781,0
NZ_LT714196,1,2323,0
NC_018413,0,88869,9
NC_018267,0,379740,39
NC_006349,0,8140,0
NC_017486,0,7127,0
NC_010280,0,204,0
NC_000915,0,36652,2
NC_000915,1,38216,2
NZ_LT906478,0,4311,0
NZ_LT906478,1,6015,0
NC_015759,0,900,0
NC_015759,1,2712,0
NC_007953,0,29142,1
NC_000919,0,1092,0
NC_008229,0,2856,0
NC_017739,0,52877,3
NC_017739,1,54430,3
NZ_CP021866,0,12472,0
NZ_CP021866,1,14015,0
NZ_CP022319,0,4023,0
NZ_CP022319,1,2276,0
NC_017080,0,37031,0
NC_017359,0,6880,0
NC_017359,1,5326,0
NC_005823,0,3770,0
NC_014774,0,293288,23
NZ_CP013453,0,46022,1
NZ_CP013453,1,47899,1
NC_003912,0,31846,1
NC_021821,0,372,0
NC_017453,0,2685,0
NC_008702,0,36600,0
NC_011297,0,1832,0
NC_022991,0,2684,0
NC_000963,0,9190,0
NZ_CP025043,0,719,0
NZ_CP025043,1,2270,0
NC_017272,0,12620,0
NC_005835,0,20109,1
NC_017254,0,3707,0
NC_005042,0,14391,0
NC_005824,0,2441,0
NC_017250,0,7140,0
NC_011002,0,373,0
NC_002967,0,198865,6
NC_017358,0,12518,0
NC_017358,1,14072,0
NZ_LT906473,0,1794,0
NZ_LT906473,1,4134,0
NC_022591,0,18820,0
NC_013209,0,6161,0
NC_011883,0,1738,0
NC_014562,0,7246,0
NZ_AP014524,0,7533,0
NZ_CP021865,0,12472,0
NZ_CP021865,1,14015,0
NZ_CP009220,0,23061,0
NZ_CP023754,0,904,0
NZ_CP023754,1,2608,0
NC_022543,0,2107,0
NC_015565,0,14112,0
NC_015565,1,15867,0
