Assembly	ChromosomeAccession	fromRefSeq
GCF_002094405.2		False
GCF_008365335.1		False
GCF_001593665.2	NZ_CP029373.1	True
GCF_002078375.2	NZ_CP015894.1	True
GCF_900573445.1		True
GCF_900149915.1	NZ_LT827011.1	True
GCF_003003495.1	NZ_CP027540.1	True
GCF_002949795.1	NZ_CP026692.1	True
GCF_002949735.1	NZ_CP026681.1	True
GCF_900149875.1	NZ_LT903847.1	True
GCF_002222655.1	NZ_CP022423.1	True
GCF_002210025.1		False
GCF_002078895.1	NZ_CP015899.1	True
GCF_002078375.1		False
GCF_002076855.1	NZ_CP020551.1	True
GCF_002076835.1	NZ_CP020549.1	True
GCF_001729485.1	NZ_CP017157.1	True
GCF_001617545.1	NZ_CP015145.1	True
GCF_000009765.2	NC_003155.5	True
GCF_000364385.3	NZ_CP006659.2 NZ_CP087272.1 CP087272.1	True
GCF_000967155.2	NZ_HF572917.1	True
GCF_000626655.2	NZ_CP007224.1	True
GCF_000359525.1	NC_020990.1	True
GCF_000319065.1	NC_020978.1	True
GCF_000318945.1	NC_020975.1	True
GCF_000319165.1	NC_020972.1	True
GCF_000318665.1	NC_020969.1	True
GCF_000318585.1	NC_020967.1	True
GCF_000318705.1	NC_020964.1	True
GCF_000318805.1	NC_020965.1	True
GCF_000318625.1	NC_020968.1	True
GCF_000319105.1	NC_020974.1	True
GCF_000318965.1	NC_020976.1	True
GCF_000318865.1	NC_020973.1	True
GCF_000319045.1	NC_020977.1	True
GCF_000318645.1	NC_020971.1	True
GCF_000318905.1	NC_020945.1	True
GCF_000318565.1	NC_020944.1	True
GCF_000318605.1	NC_020943.1	True
GCF_000318685.1	NC_020942.1	True
GCF_000318745.1	NC_020941.1	True
GCF_000318785.1	NC_020940.1	True
GCF_000318545.1	NC_020939.1	True
GCF_000318985.1	NC_020938.1	True
GCF_000319085.1	NC_020936.1	True
GCF_000319125.1	NC_020935.1	True
GCF_000319025.1	NC_020934.1	True
GCF_000319005.1	NC_020933.1	True
GCF_000319145.1	NC_020932.1	True
GCF_000318925.1	NC_020931.1	True
GCF_000318845.1	NC_020929.1	True
GCF_000318525.1	NC_020966.1	True
GCF_000318765.1	NC_020970.1	True
GCF_000187205.2	NC_017847.1	True
GCF_000346065.1	NC_020528.1	True
GCF_000341665.1	NC_020376.1	True
GCF_000312685.1	NC_019435.1	True
GCF_000319385.1	NC_019566.1	True
GCF_000306825.1	NC_018101.1	True
GCF_000286815.1	NC_018413.1	True
GCF_000286795.1	NC_018412.1	True
GCF_000286775.1	NC_018411.1	True
GCF_000286755.1	NC_018410.1	True
GCF_000286735.1	NC_018409.1	True
GCF_000286715.1	NC_018408.1	True
GCF_000286695.1	NC_018407.1	True
GCF_000286675.1	NC_018406.1	True
GCF_000284575.1	NC_017768.1	True
GCF_000284495.1	NC_011993.1	True
GCF_000010245.2	NC_007779.1	True
GCF_000210475.1	NC_017633.1	True
GCF_000187205.1		False
GCF_000237145.1	NC_017803.1	True
GCF_000227625.1	NC_017646.1	True
GCF_000258365.1	NC_017623.1	True
GCF_000025385.1	NC_017503.1	True
GCF_000025365.1	NC_017502.1	True
GCF_000092385.1	NC_016582.1	True
GCF_001013905.1	NZ_LN831790.1	True
GCF_000981485.1	NZ_LN832404.1	True
GCF_000968515.1	NZ_CP011134.1	True
GCF_000285655.3	NZ_HG941718.1	True
GCF_000967155.1		False
GCF_000953515.1	NZ_LM993812.1	True
GCF_000952955.1	NZ_LM995446.1	True
GCF_000934625.1	NZ_CP010432.1	True
GCF_000186005.1	NC_014921.1	True
GCF_000196395.1	NC_009348.1	True
GCF_000195735.1	NC_000963.1	True
GCF_000786425.1	NZ_LK021130.1 NZ_LK021129.1	True
GCF_000626655.1		False
GCF_000750555.1	NZ_CP009273.1	True
GCF_000734955.1		True
GCF_000364385.2		False
GCF_000092585.1	NC_004829.2	True
GCF_000090965.1	NC_008513.1	True
GCF_000520055.1	NZ_CP006262.1	True
GCF_000520035.1	NZ_CP006027.1	True
GCF_000517425.1	NZ_CP006569.1	True
GCF_000005845.2	NZ_CP077969.1 CP077969.1	True
GCF_000026585.1	NC_012471.1	True
GCF_000026545.1	NC_011601.1	True
GCF_000021705.1	NC_012751.1	True
GCF_000018785.1	NC_010163.1	True
GCF_000010245.1		False
GCF_000009345.1	NC_008800.1	True
GCF_000009125.1	NC_003295.1	True
GCF_000008745.1	NC_000922.1	True
GCF_000008725.1	NC_000117.1	True
GCF_000007885.1	NC_005810.1	True
GCF_000007405.1	NC_004741.1	True
GCF_000006965.1	NC_003047.1	True
GCF_000006665.1	NC_002655.2	True
GCF_000006645.1	NC_004088.1	True
