RefSeq_oriC,Prediction,Correct
NC_011833_0,-1.465963150775343,False
NC_011833_1,0.9936090066863217,True
NC_018149_0,-0.6042374821889125,False
NC_018149_1,-1.056432011777295,True
NC_018149_2,-1.1852196068158405,False
NC_018149_3,-1.0226924717098795,False
NC_018149_4,-1.0089143319303757,False
NC_018149_5,-1.105506044422546,False
NC_004545_0,-1.3055341016994915,False
NC_004545_1,1.0227674286061672,True
NC_022124_0,-1.1343181270091576,False
NC_022124_1,-1.0488401834026517,False
NC_022124_2,-1.0756712919608644,False
NC_022124_3,-1.094093697333838,False
NC_022124_4,-1.1676869060045105,False
NC_022124_5,-1.0628392505500328,True
NC_016025_0,1.1403918118251768,True
NC_016025_1,-1.009374158459812,False
NC_016025_2,-1.009374158459812,False
NC_016025_3,-1.0359141557738012,False
NC_016025_4,-1.0359141557738012,False
NC_021219_0,0.9999993390080022,True
NC_005303_0,-1.0384105024337968,False
NC_005303_1,-1.007576611454246,False
NC_005303_2,-1.0193527643986526,False
NC_005303_3,-1.0923382999989626,False
NC_005303_4,-1.1195998212276577,False
NC_005303_5,-1.230705773843843,False
NC_005303_6,-1.0138067338791557,False
NC_005303_7,-1.1668797974938256,True
NC_018413_0,-0.14816211592658693,False
NC_018413_1,-0.9375633491330773,True
NC_018413_2,-0.9375633491330773,False
NC_018413_3,-1.0174921127386851,False
NC_017503_0,-0.6803925433838371,True
NC_017503_1,-0.9943301157772366,False
NC_017503_2,-1.16100528837716,False
NC_017503_3,-1.1562267333825302,False
NC_002936_0,-1.4538832289909165,False
NC_002936_1,-1.0508835194243231,True
NC_002936_2,-1.0698968315905744,False
NC_002936_3,-0.8245428359159546,False
NC_020512_0,1.68093359075673,True
NC_020512_1,-0.6769513104842899,False
NC_017062_0,-0.49588865002173166,True
NC_017062_1,-1.108924976458175,False
NC_017062_2,-1.2650986104134232,False
NC_017062_3,-1.1344721187350528,False
NC_017062_4,-1.0595148707376352,False
NC_020945_0,1.4876255144342154,True
NC_020945_1,-0.29532780111229884,False
NC_021050_0,2.005236307998661,True
NC_021050_1,-1.0750349340179837,False
NC_012026_0,-0.10721718981226605,False
NC_012026_1,-0.9999238745038126,False
NC_012026_2,-0.9976505397122308,False
NC_012026_3,-0.9977483233110347,False
NC_004552_0,0.9999993390080022,True
NC_009050_0,-0.9707069143047902,False
NC_009050_1,-0.9707069143047902,False
NC_009050_2,-0.999500329429216,False
NC_009050_3,-0.999500329429216,False
NC_009050_4,-0.9945931834674211,False
NC_009050_5,-1.0388869921880455,False
