RefSeq,Sequence_length,GC_Concentration,Time,oriC_middles_0,oriC_middles_1,oriC_middles_2,oriC_middles_3,oriC_middles_4,oriC_middles_5,oriC_middles_6,oriC_middles_7,oriC_middles_8,oriC_middles_9,Avg_Occurance_oriC_0,Avg_Occurance_oriC_1,Avg_Occurance_oriC_2,Avg_Occurance_oriC_3,Avg_Occurance_oriC_4,Avg_Occurance_oriC_5,Avg_Occurance_oriC_6,Avg_Occurance_oriC_7,Avg_Occurance_oriC_8,Avg_Occurance_oriC_9,Z_Occurance_oriC_0,Z_Occurance_oriC_1,Z_Occurance_oriC_2,Z_Occurance_oriC_3,Z_Occurance_oriC_4,Z_Occurance_oriC_5,Z_Occurance_oriC_6,Z_Occurance_oriC_7,Z_Occurance_oriC_8,Z_Occurance_oriC_9,G_Occurance_oriC_0,G_Occurance_oriC_1,G_Occurance_oriC_2,G_Occurance_oriC_3,G_Occurance_oriC_4,G_Occurance_oriC_5,G_Occurance_oriC_6,G_Occurance_oriC_7,G_Occurance_oriC_8,G_Occurance_oriC_9,D_Occurance_oriC_0,D_Occurance_oriC_1,D_Occurance_oriC_2,D_Occurance_oriC_3,D_Occurance_oriC_4,D_Occurance_oriC_5,D_Occurance_oriC_6,D_Occurance_oriC_7,D_Occurance_oriC_8,D_Occurance_oriC_9,Prediction_oriC_0,Prediction_oriC_1,Prediction_oriC_2,Prediction_oriC_3,Prediction_oriC_4,Prediction_oriC_5,Prediction_oriC_6,Prediction_oriC_7,Prediction_oriC_8,Prediction_oriC_9
NC_018416,166163,0.14177644842714685,"(20.61675262451172, 0.15841984748840332, 24.072040557861328)",15721,88600,159857,47743,56376,nan,nan,nan,nan,nan,0.3636363636363636,0.196969696969697,0.07575757575757576,0.015151515151515152,0.015151515151515152,nan,nan,nan,nan,nan,0.09090909090909091,0.5909090909090909,0.22727272727272727,0.045454545454545456,0.045454545454545456,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,-1.0003570677271236,-0.8016573677684002,-1.0187709751203338,-1.0042959898999593,-1.0042959898999593,nan,nan,nan,nan,nan
NC_021916,190733,0.2399742047784075,"(26.708733320236206, 0.13251137733459473, 30.295827388763428)",30656,150195,67692,97926,47779,121590,178,nan,nan,nan,0.38518518518518513,0.08888888888888889,0.05185185185185185,0.05185185185185185,0.044444444444444446,0.022222222222222223,0.022222222222222223,nan,nan,nan,0.15555555555555556,0.15555555555555556,0.15555555555555556,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.06666666666666667,nan,nan,nan,0,0,0,0,0,0,0,nan,nan,nan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,-1.0417159026859943,-1.0324435458301204,-1.0324435458301204,-1.0060843346729493,-1.0309438727608446,-1.0114354995513688,-1.0114354995513688,nan,nan,nan
NC_010118,245530,0.2244084225960168,"(29.603837251663208, 0.13080072402954102, 33.81733155250549)",51232,198330,93816,166561,120507,937,nan,nan,nan,nan,0.44144144144144143,0.10810810810810811,0.06306306306306307,0.02702702702702703,0.018018018018018018,0.009009009009009009,nan,nan,nan,nan,0.32432432432432434,0.32432432432432434,0.1891891891891892,0.08108108108108109,0.05405405405405406,0.02702702702702703,nan,nan,nan,nan,0,0,0,0,0,0,nan,nan,nan,nan,1.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,-1.141518761923792,-0.9950561387857144,-1.028959217141506,-1.0167353485674377,-1.0069940172025875,-1.000209913765162,nan,nan,nan,nan
NC_004545,615980,0.25341407188545084,"(81.39338636398315, 0.29577183723449707, 95.1096727848053)",614506,407334,nan,nan,nan,nan,nan,nan,nan,nan,0.628630849916133,0.37136915008386695,nan,nan,nan,nan,nan,nan,nan,nan,0.8888888888888888,0.1111111111111111,nan,nan,nan,nan,nan,nan,nan,nan,0.9970036608595103,0.00299633914048969,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,0.28736456824666146,-1.016039577716847,nan,nan,nan,nan,nan,nan,nan,nan
NC_007494,943018,0.6901374098903732,"(97.45762419700623, 0.39548397064208984, 116.28908061981201)",941935,107308,838115,581927,678583,nan,nan,nan,nan,nan,0.09803921568627451,0.08823529411764706,0.06862745098039215,0.06862745098039215,0.00980392156862745,nan,nan,nan,nan,nan,0.29411764705882354,0.2647058823529412,0.20588235294117646,0.20588235294117646,0.029411764705882353,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan,-0.999010642139269,-1.0066775824505507,-1.0250869922372496,-1.0250869922372496,-1.0005671185703031,nan,nan,nan,nan,nan
NC_006055,793224,0.2702048853791615,"(97.42609429359436, 0.43630337715148926, 119.72046184539795)",793074,70566,nan,nan,nan,nan,nan,nan,nan,nan,0.6666666666666666,0.3333333333333333,nan,nan,nan,nan,nan,nan,nan,nan,0.75,0.25,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.25,0.75,nan,nan,nan,nan,nan,nan,nan,nan,1.3835050232266743,-0.9751927678974264,nan,nan,nan,nan,nan,nan,nan,nan
NC_014448,839615,0.25883529951227646,"(106.03014659881592, 0.46750593185424805, 127.29889965057373)",818171,292241,599556,450818,nan,nan,nan,nan,nan,nan,0.4980392156862745,0.3865671438643485,0.2160094876953049,0.12287581699346406,nan,nan,nan,nan,nan,nan,0.2,0.6,0.06666666666666667,0.13333333333333333,nan,nan,nan,nan,nan,nan,1.0,0.2655837845342218,0.40489120818395385,0.0,nan,nan,nan,nan,nan,nan,0.29411764705882354,0.29411764705882354,0.17647058823529413,0.23529411764705882,nan,nan,nan,nan,nan,nan,-0.5901627616557414,-0.5725226134776742,-1.0399167140269734,-1.0109893176960734,nan,nan,nan,nan,nan,nan
NC_023004,845464,0.4940080239962908,"(128.23961663246155, 0.4763758182525635, 143.23097252845764)",286023,5121,129718,nan,nan,nan,nan,nan,nan,nan,0.3,0.2714285714285714,0.09523809523809523,nan,nan,nan,nan,nan,nan,nan,0.5,0.21428571428571427,0.2857142857142857,nan,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,0.4,0.6,0.0,nan,nan,nan,nan,nan,nan,nan,-1.1425773164486666,-1.0890040861841053,-1.0008874426287386,nan,nan,nan,nan,nan,nan,nan
NC_020419,1125857,0.35207402005760946,"(133.39174604415894, 0.48127055168151855, 157.24441838264465)",204,224241,nan,nan,nan,nan,nan,nan,nan,nan,0.6666666666666666,0.3333333333333333,nan,nan,nan,nan,nan,nan,nan,nan,0.75,0.25,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.25,0.75,nan,nan,nan,nan,nan,nan,nan,nan,1.3835050232266743,-0.9751927678974264,nan,nan,nan,nan,nan,nan,nan,nan
NC_017953,1042743,0.4131056262185409,"(142.5579845905304, 0.4951174259185791, 167.3281328678131)",4,720781,nan,nan,nan,nan,nan,nan,nan,nan,0.4483649890668076,0.43976118083736876,nan,nan,nan,nan,nan,nan,nan,nan,0.18181818181818182,0.8181818181818182,nan,nan,nan,nan,nan,nan,nan,nan,0.663276785382241,0.0011017243302879898,nan,nan,nan,nan,nan,nan,nan,nan,0.5,0.5,nan,nan,nan,nan,nan,nan,nan,nan,-0.9997750493902453,1.3404099249935078,nan,nan,nan,nan,nan,nan,nan,nan
NC_017429,1042810,0.4130915507139364,"(140.3755066394806, 0.5117495059967041, 168.12136006355286)",9,720268,nan,nan,nan,nan,nan,nan,nan,nan,0.5037174456594139,0.38399738046641646,nan,nan,nan,nan,nan,nan,nan,nan,0.18181818181818182,0.8181818181818182,nan,nan,nan,nan,nan,nan,nan,nan,0.6626674884933934,0.0004769898840977227,nan,nan,nan,nan,nan,nan,nan,nan,0.6666666666666666,0.3333333333333333,nan,nan,nan,nan,nan,nan,nan,nan,-1.178486267826778,1.000027867162685,nan,nan,nan,nan,nan,nan,nan,nan
NC_016638,919992,0.3533356811798363,"(146.78818202018738, 0.5899579524993896, 167.7859902381897)",918170,759368,186781,nan,nan,nan,nan,nan,nan,nan,0.30952380952380953,0.19047619047619047,0.16666666666666666,nan,nan,nan,nan,nan,nan,nan,0.6428571428571429,0.14285714285714285,0.21428571428571427,nan,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan,0.2857142857142857,0.2857142857142857,0.42857142857142855,nan,nan,nan,nan,nan,nan,nan,-0.7018249538344046,-1.0046182221460649,-1.0289376588013974,nan,nan,nan,nan,nan,nan,nan
NC_017503,977612,0.3139589121246466,"(149.5320863723755, 0.593975305557251, 173.71773624420166)",964919,573943,877785,173867,nan,nan,nan,nan,nan,nan,0.22592592592592595,0.19259259259259257,0.1259259259259259,0.12222222222222223,nan,nan,nan,nan,nan,nan,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.16666666666666666,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,0.4,0.3,0.1,0.2,nan,nan,nan,nan,nan,nan,-1.0499269126106876,-1.0258266032749086,-1.0207800528794175,-1.0092430140284998,nan,nan,nan,nan,nan,nan
NC_017177,300869,0.24998919795658575,"(46.96183633804321, 0.21027922630310059, 54.09893727302551)",25788,259305,nan,nan,nan,nan,nan,nan,nan,nan,0.4583333333333333,0.20833333333333334,nan,nan,nan,nan,nan,nan,nan,nan,0.375,0.625,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,-1.0318427148077385,-0.6423429153412892,nan,nan,nan,nan,nan,nan,nan,nan
NC_002506,1072315,0.46913546858898736,"(156.5949375629425, 0.772681713104248, 184.854674577713)",1925,880914,98333,455120,nan,nan,nan,nan,nan,nan,0.3055555555555555,0.19444444444444445,0.08333333333333333,0.08333333333333333,nan,nan,nan,nan,nan,nan,0.75,0.08333333333333333,0.08333333333333333,0.08333333333333333,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,nan,nan,nan,nan,nan,nan,0.22245268103503602,-1.0183917174708492,-1.0183917174708492,-1.052648723525011,nan,nan,nan,nan,nan,nan
