RefSeq,Sequence_length,False_order,GC_Concentration,oriC_middles_0,oriC_middles_1,oriC_middles_2,oriC_middles_3,oriC_middles_4,oriC_middles_5,oriC_middles_6,oriC_middles_7,oriC_middles_8,oriC_middles_9,Occurance_oriC_0,Occurance_oriC_1,Occurance_oriC_2,Occurance_oriC_3,Occurance_oriC_4,Occurance_oriC_5,Occurance_oriC_6,Occurance_oriC_7,Occurance_oriC_8,Occurance_oriC_9
NC_000908,580076,True,0.31689123494162835,578299,480519,288765,104160,364656,nan,nan,nan,nan,nan,0.5,0.2222222222222222,0.16666666666666666,0.05555555555555555,0.05555555555555555,nan,nan,nan,nan,nan
NC_004842,1197687,True,0.497626675416866,961452,1197437,1094769,206087,444179,nan,nan,nan,nan,nan,0.15,0.45,0.3,0.05,0.05,nan,nan,nan,nan,nan
NC_003103,1268755,False,0.3243880812292365,22375,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_016621,605745,True,0.23846833238408902,4356,405911,477107,214572,144058,273823,553144,nan,nan,nan,0.2571428571428571,0.2,0.2,0.14285714285714285,0.08571428571428572,0.08571428571428572,0.02857142857142857,nan,nan,nan
NC_017360,1566655,False,0.3886707666971988,53865,1251196,657573,1107709,815881,nan,nan,nan,nan,nan,0.6666666666666666,0.2,0.06666666666666667,0.03333333333333333,0.03333333333333333,nan,nan,nan,nan,nan
NC_013418,636994,False,0.28210940762393366,636630,257261,149613,374323,422701,nan,nan,nan,nan,nan,0.3103448275862069,0.3448275862068966,0.2413793103448276,0.06896551724137931,0.034482758620689655,nan,nan,nan,nan,nan
NC_022886,1660425,True,0.38875649306653415,1632646,1393089,455346,1060022,1227587,nan,nan,nan,nan,nan,0.5517241379310345,0.2413793103448276,0.10344827586206896,0.06896551724137931,0.034482758620689655,nan,nan,nan,nan,nan
NC_017040,1750832,False,0.38480676615460535,5069,1554113,nan,nan,nan,nan,nan,nan,nan,nan,0.9,0.1,nan,nan,nan,nan,nan,nan,nan,nan
NC_008816,1669886,True,0.313215393146598,1659383,322586,1117152,798367,nan,nan,nan,nan,nan,nan,0.5,0.21428571428571427,0.14285714285714285,0.14285714285714285,nan,nan,nan,nan,nan,nan
NZ_CP023769,1852980,False,0.38344666429211327,4219,1655503,nan,nan,nan,nan,nan,nan,nan,nan,0.75,0.25,nan,nan,nan,nan,nan,nan,nan,nan
NZ_LT714196,2170276,False,0.3552234830961592,2169576,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_018413,926650,True,0.31594237306426376,838713,926525,478698,242648,nan,nan,nan,nan,nan,nan,0.5,0.21428571428571427,0.21428571428571427,0.07142857142857142,nan,nan,nan,nan,nan,nan
NC_018267,957990,True,0.3206995897660727,953273,371692,778154,244337,694425,nan,nan,nan,nan,nan,0.47368421052631576,0.3684210526315789,0.05263157894736842,0.05263157894736842,0.05263157894736842,nan,nan,nan,nan,nan
NC_006349,2325379,False,0.6898557181431499,1221,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_017486,2399458,False,0.3523974997686978,8930,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_010280,1038863,False,0.41328356097002206,63,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_000922,1230230,True,0.4057769685343391,633646,844820,955068,nan,nan,nan,nan,nan,nan,nan,0.09090909090909091,0.8181818181818182,0.09090909090909091,nan,nan,nan,nan,nan,nan,nan
NC_000915,1667867,True,0.38873183533219374,1645725,604106,143502,1185860,1019828,nan,nan,nan,nan,nan,0.4166666666666667,0.375,0.125,0.041666666666666664,0.041666666666666664,nan,nan,nan,nan,nan
NZ_LT906478,2919550,False,0.3715137606822969,2914987,2414700,nan,nan,nan,nan,nan,nan,nan,nan,0.9,0.1,nan,nan,nan,nan,nan,nan,nan,nan
NC_015759,1422478,False,0.3548314982727325,783995,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP009259,1619098,True,0.39016600601075413,1611525,1019522,134719,781088,1180736,nan,nan,nan,nan,nan,0.391304347826087,0.30434782608695654,0.13043478260869565,0.13043478260869565,0.043478260869565216,nan,nan,nan,nan,nan
NC_022130,1622903,True,0.385660757297263,1474911,1036690,226,720975,865545,144184,1223397,nan,nan,nan,0.36,0.32,0.12,0.08,0.04,0.04,0.04,nan,nan,nan
NC_011988,1283187,True,0.5751850665569399,1094084,75,979912,111840,nan,nan,nan,nan,nan,nan,0.08333333333333333,0.75,0.08333333333333333,0.08333333333333333,nan,nan,nan,nan,nan,nan
NC_007953,1471779,False,0.6172706635982712,1116,831481,378629,nan,nan,nan,nan,nan,nan,nan,0.6428571428571429,0.2857142857142857,0.07142857142857142,nan,nan,nan,nan,nan,nan,nan
NC_017857,3137100,True,0.44748812597622006,31210,312753,nan,nan,nan,nan,nan,nan,nan,nan,0.1,0.9,nan,nan,nan,nan,nan,nan,nan,nan
