RefSeq,Organism,Lineage,DoriC_oriC_0,DoriC_oriC_1,DoriC_oriC_2,DoriC_oriC_3,Sequence_length,GC_Concentration,Time,oriC_middles_0,oriC_middles_1,oriC_middles_2,oriC_middles_3,oriC_middles_4,oriC_middles_5,oriC_middles_6,oriC_middles_7,oriC_middles_8,oriC_middles_9,Avg_Occurance_oriC_0,Avg_Occurance_oriC_1,Avg_Occurance_oriC_2,Avg_Occurance_oriC_3,Avg_Occurance_oriC_4,Avg_Occurance_oriC_5,Avg_Occurance_oriC_6,Avg_Occurance_oriC_7,Avg_Occurance_oriC_8,Avg_Occurance_oriC_9,Z_Occurance_oriC_0,Z_Occurance_oriC_1,Z_Occurance_oriC_2,Z_Occurance_oriC_3,Z_Occurance_oriC_4,Z_Occurance_oriC_5,Z_Occurance_oriC_6,Z_Occurance_oriC_7,Z_Occurance_oriC_8,Z_Occurance_oriC_9,G_Occurance_oriC_0,G_Occurance_oriC_1,G_Occurance_oriC_2,G_Occurance_oriC_3,G_Occurance_oriC_4,G_Occurance_oriC_5,G_Occurance_oriC_6,G_Occurance_oriC_7,G_Occurance_oriC_8,G_Occurance_oriC_9,D_Occurance_oriC_0,D_Occurance_oriC_1,D_Occurance_oriC_2,D_Occurance_oriC_3,D_Occurance_oriC_4,D_Occurance_oriC_5,D_Occurance_oriC_6,D_Occurance_oriC_7,D_Occurance_oriC_8,D_Occurance_oriC_9,Prediction_oriC_0,Prediction_oriC_1,Prediction_oriC_2,Prediction_oriC_3,Prediction_oriC_4,Prediction_oriC_5,Prediction_oriC_6,Prediction_oriC_7,Prediction_oriC_8,Prediction_oriC_9
NC_018416,Candidatus Carsonella ruddii HC isolate Thao2000 chromosome,"Bacteria, Proteobacteria, Gammaproteobacteria, Candidatus Carsonella","(154894.0, 155208.0)",,,,166163,0.1417764484271468,"(20.61675262451172, 0.15841984748840332, 24.072040557861328)",15721,88600.0,159857.0,47743.0,56376.0,,,,,,0.3636363636363636,0.196969696969697,0.0757575757575757,0.0151515151515151,0.0151515151515151,,,,,,0.0909090909090909,0.5909090909090909,0.2272727272727272,0.0454545454545454,0.0454545454545454,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,-1.0003570677271236,-0.8016573677684002,-1.0187709751203338,-1.0042959898999593,-1.0042959898999593,,,,,
NC_021916,Candidatus Sulcia muelleri str. Sulcia-ALF,"Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Candidatus Sulcia","(15222.0, 15646.0)",,,,190733,0.2399742047784075,"(26.708733320236206, 0.13251137733459473, 30.295827388763428)",30656,150195.0,67692.0,97926.0,47779.0,121590.0,178.0,,,,0.3851851851851851,0.0888888888888888,0.0518518518518518,0.0518518518518518,0.0444444444444444,0.0222222222222222,0.0222222222222222,,,,0.1555555555555555,0.1555555555555555,0.1555555555555555,0.2666666666666666,0.1333333333333333,0.0666666666666666,0.0666666666666666,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-1.0417159026859943,-1.0324435458301204,-1.0324435458301204,-1.006084334672949,-1.0309438727608446,-1.0114354995513688,-1.0114354995513688,,,
NC_010118,Candidatus Sulcia muelleri GWSS,"Bacteria, Bacteroidetes, Flavobacteria, Flavobacteriales, Candidatus Sulcia","(27380.0, 27805.0)",,,,245530,0.2244084225960168,"(29.603837251663208, 0.13080072402954102, 33.81733155250549)",51232,198330.0,93816.0,166561.0,120507.0,937.0,,,,,0.4414414414414414,0.1081081081081081,0.063063063063063,0.027027027027027,0.018018018018018,0.009009009009009,,,,,0.3243243243243243,0.3243243243243243,0.1891891891891892,0.081081081081081,0.054054054054054,0.027027027027027,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,,,,,-1.141518761923792,-0.9950561387857144,-1.028959217141506,-1.0167353485674375,-1.0069940172025875,-1.000209913765162,,,,
NC_004545,Buchnera aphidicola str. Bp (Baizongia pistaciae),"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Buchnera","(1.0, 468.0)",,,,615980,0.2534140718854508,"(81.39338636398315, 0.29577183723449707, 95.1096727848053)",614506,407334.0,,,,,,,,,0.628630849916133,0.3713691500838669,,,,,,,,,0.8888888888888888,0.1111111111111111,,,,,,,,,0.9970036608595104,0.0029963391404896,,,,,,,,,0.0,1.0,,,,,,,,,0.2873645682466614,-1.016039577716847,,,,,,,,
NC_007494,Rhodobacter sphaeroides 2.4.1 chromosome 2,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Rhodobacter","(942522.0, 503.0)",,,,943018,0.6901374098903732,"(97.45762419700623, 0.39548397064208984, 116.28908061981201)",941935,107308.0,838115.0,581927.0,678583.0,,,,,,0.0980392156862745,0.088235294117647,0.0686274509803921,0.0686274509803921,0.0098039215686274,,,,,,0.2941176470588235,0.2647058823529412,0.2058823529411764,0.2058823529411764,0.0294117647058823,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,-0.999010642139269,-1.0066775824505507,-1.0250869922372496,-1.0250869922372496,-1.0005671185703031,,,,,
NC_006055,Mesoplasma florum L1,"Bacteria, Firmicutes, Mollicutes, Entomoplasmatales, Entomoplasmataceae, Mesoplasma","(792925.0, 793224.0)",,,,793224,0.2702048853791615,"(97.42609429359436, 0.43630337715148926, 119.72046184539795)",793074,70566.0,,,,,,,,,0.6666666666666666,0.3333333333333333,,,,,,,,,0.75,0.25,,,,,,,,,1.0,0.0,,,,,,,,,0.25,0.75,,,,,,,,,1.3835050232266743,-0.9751927678974264,,,,,,,,
NC_014448,Mycoplasma hyorhinis HUB-1 chromosome,"Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(839116.0, 839615.0)",,,,839615,0.2588352995122764,"(106.03014659881592, 0.46750593185424805, 127.29889965057373)",818171,292241.0,599556.0,450818.0,,,,,,,0.4980392156862745,0.3865671438643485,0.2160094876953049,0.122875816993464,,,,,,,0.2,0.6,0.0666666666666666,0.1333333333333333,,,,,,,1.0,0.2655837845342218,0.4048912081839538,0.0,,,,,,,0.2941176470588235,0.2941176470588235,0.1764705882352941,0.2352941176470588,,,,,,,-0.5901627616557414,-0.5725226134776742,-1.0399167140269734,-1.0109893176960734,,,,,,
NC_023004,Candidatus Saccharibacteria bacterium RAAC3_TM7_1,"Bacteria, Candidatus Saccharibacteria","(278100.0, 278519.0)",,,,845464,0.4940080239962908,"(128.23961663246155, 0.4763758182525635, 143.23097252845764)",286023,5121.0,129718.0,,,,,,,,0.3,0.2714285714285714,0.0952380952380952,,,,,,,,0.5,0.2142857142857142,0.2857142857142857,,,,,,,,0.0,0.0,0.0,,,,,,,,0.4,0.6,0.0,,,,,,,,-1.1425773164486666,-1.0890040861841053,-1.0008874426287386,,,,,,,
NC_020419,Uncultured Termite group 1 bacterium phylotype Rs-D17 DNA,"Bacteria, Elusimicrobia, environmental samples","(1125789.0, 981.0)",,,,1125857,0.3520740200576094,"(133.39174604415894, 0.48127055168151855, 157.24441838264465)",204,224241.0,,,,,,,,,0.6666666666666666,0.3333333333333333,,,,,,,,,0.75,0.25,,,,,,,,,1.0,0.0,,,,,,,,,0.25,0.75,,,,,,,,,1.3835050232266743,-0.9751927678974264,,,,,,,,
NC_017953,Chlamydia trachomatis F/SW5,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(720760.0, 721056.0)",,,,1042743,0.4131056262185409,"(142.5579845905304, 0.4951174259185791, 167.3281328678131)",4,720781.0,,,,,,,,,0.4483649890668076,0.4397611808373687,,,,,,,,,0.1818181818181818,0.8181818181818182,,,,,,,,,0.663276785382241,0.0011017243302879,,,,,,,,,0.5,0.5,,,,,,,,,-0.9997750493902452,1.3404099249935078,,,,,,,,
