RefSeq,D_idx,Z_idx,Distance_bp,Distance_pc
NC_018672,0,0,7713,0
NZ_AP014635,0,0,8066,0
NZ_CP014167,0,0,3314,0
NZ_CP014167,1,0,1471,0
NZ_CP025543,0,0,3522,0
NZ_CP025057,0,0,158,0
NZ_CP016534,0,0,3776,0
NZ_CP016534,1,0,2102,0
NZ_CP011797,0,0,4332,0
NZ_CP013934,0,0,523,0
NZ_CP019573,0,0,1081,0
NC_019675,0,0,638372,19
NC_014972,0,0,166886,4
NC_006833,0,0,7109,0
NZ_CP022203,0,0,4926,0
NZ_CP006018,0,0,6975,0
NZ_CP009108,0,0,2278,0
NZ_CP009108,1,0,4027,0
NC_009881,0,0,13344,1
NZ_CP015839,0,0,14138,0
NC_014119,0,0,2889,0
NZ_CP015196,0,0,1728,0
NC_014216,0,0,25626,0
NC_009633,0,0,50061,1
NC_009633,1,0,48266,0
NZ_CP018632,0,0,1789,0
NZ_CP015438,0,0,4738,0
NZ_CP015438,1,0,3049,0
NZ_CP008849,0,0,8837,0
NZ_CP021425,0,0,689,0
NZ_CP017111,0,0,615,0
NC_013592,0,0,20912,0
NZ_CP017560,0,0,11236,0
NZ_CP019698,0,0,46658,1
NZ_CP007445,0,0,721,0
NZ_CP007501,0,0,740,0
NZ_CP007501,1,0,905,0
NC_017082,0,0,137466,1
NZ_CP016757,0,0,13387,0
NZ_CP016757,1,0,11583,0
NC_014666,0,0,7686,0
NZ_CP006841,0,0,1116,0
NZ_CP006841,1,0,1118,0
NC_021870,0,0,2482,0
NC_020419,0,0,254,0
NC_013740,0,0,11575,0
NC_013740,1,0,10485,0
NC_013740,2,0,8867,0
NC_013740,3,0,13261,0
NZ_CP009498,0,0,260461,16
NZ_CP017279,0,0,1300,0
NC_015671,0,0,24341,0
NC_018419,0,0,9,0
NC_018419,1,0,3950,0
NZ_CP010427,0,0,5951,0
NZ_CP015519,0,0,157,0
NZ_CP018312,0,0,1019,0
NC_012691,0,0,3940,0
NC_012115,0,0,7914,0
NZ_CP011883,0,0,7715,0
NC_014392,0,0,8533,0
NC_014392,1,0,6520,0
NZ_CP019323,0,0,515,0
NZ_CP013187,0,0,2330,0
NZ_CP009249,0,0,5645,0
NZ_CP009249,1,0,7942,0
NZ_CP007142,0,0,27025,0
NC_014376,0,0,3048,0
NC_014376,1,0,1312,0
NC_009504,0,0,681,0
NC_009379,0,0,787,0
NC_009379,1,0,2457,0
NZ_CP014870,0,0,19737,0
NC_020283,0,0,2428,0
NZ_CP008998,0,0,78293,1
NC_020294,0,0,2774,0
NC_020299,0,0,2237,0
NC_020284,0,0,2263,0
NC_019814,0,0,170202,20
NZ_CP013652,0,0,3981,0
NZ_CP013652,1,0,2226,0
NZ_CP018776,0,0,6710,0
NZ_CP018776,1,0,4902,0
NC_015519,0,0,4694,0
NZ_LT906447,0,0,1394,0
NZ_LT906447,1,0,3205,0
NZ_CP018029,0,0,4776,0
NZ_HG810405,0,0,11697,1
NZ_CP009781,0,0,1752,0
NC_017449,0,0,4730,0
NZ_CP023706,0,0,2466,0
NC_008710,0,0,7469,0
NC_010528,0,0,28179,0
NZ_CP017831,0,0,3024,0
NC_010530,0,0,1149,0
NZ_CP011856,0,0,312,0
NC_021505,0,0,13485,0
NZ_CP007220,0,0,123,0
NZ_CP007220,1,0,2004,0
NZ_CP014933,0,0,282,0
NZ_CP014933,1,0,1961,0
NZ_LN614827,0,0,6768,0
NZ_CP019688,0,0,47578,1
NC_017910,0,0,22433,0
NC_014652,0,0,5532,0
NC_014652,1,0,7229,0
NC_014721,0,0,8412,0
NC_014721,1,0,6714,0
NC_014720,0,0,18574,0
NC_007954,0,0,11582,0
NC_014657,0,0,976,0
NC_014657,1,0,723,0
NZ_CP022657,0,0,35374,0
NZ_CP022657,1,0,33600,0
NZ_CP016809,0,0,709,0
NZ_CP016809,1,0,1040,0
NZ_CP009287,0,0,1814,0
NZ_CP012502,0,0,1522,0
NZ_CP012502,1,0,280,0
NZ_CP016537,0,0,3574,0
NZ_CP016537,1,0,1899,0
NC_008345,0,0,10909,0
NZ_CP009467,0,0,14287,0
NC_007512,0,0,18503,0
NZ_CP014056,0,0,2295,0
NC_016027,0,0,1129989,36
NZ_CP013124,0,0,1648,0
