RefSeq,Organism,Sequence_length,Penalties,False_order,oriC_edges_0,oriC_middles_0,oriC_edges_1,oriC_middles_1,oriC_edges_2,oriC_middles_2,oriC_edges_3,oriC_middles_3,oriC_edges_4,oriC_middles_4,oriC_edges_5,oriC_middles_5,oriC_edges_6,oriC_middles_6,oriC_edges_7,oriC_middles_7,oriC_edges_8,oriC_middles_8,oriC_edges_9,oriC_middles_9
NZ_CP059569.1,"Kingella oralis strain DSM 18271 chromosome, complete genome",2404499,"([0.0], 0, [3380])",False,"(380, 880)",630,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP013119.1,"Alcaligenes faecalis strain ZD02 chromosome, complete genome",4233756,"([2.3619688994831066e-05, 2.3619688994831066e-05], 0, [144610, 12750])",False,"(2405578, 2406078)",2405828,"(4232237, 4232737)",4232487,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_LR134326.1,"Bordetella bronchiseptica strain NCTC10543 chromosome 1, complete sequence",5199761,"([0.0], 0, [215620])",False,"(5193411, 5193911)",5193661,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP025070.1,"Bordetella parapertussis strain A005 chromosome, complete genome",4773835,"([0.0], 0, [378330])",False,"(19774, 20274)",20024,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP025371.1,"Bordetella pertussis strain H640 chromosome, complete genome",4088701,"([0.0, 0.0], 0, [3090, 281960])",False,"(4066494, 4066994)",4066744,"(3497497, 3497997)",3497747,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP064062.1,"Brucella anthropi strain PBO chromosome 1, complete sequence",2097628,"([0.0], 300, [510])",False,"(2097271, 142)",2097521,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP069587.1,"Chromobacterium violaceum strain FDAARGOS_1273 chromosome, complete genome",4758933,"([0.0], 0, [316140])",False,"(1514879, 1515379)",1515129,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_LT906482.1,"Eikenella corrodens strain NCTC10596 chromosome 1, complete sequence",2192577,"([0.0, 0.0], 0, [1680, 355980])",False,"(964654, 965154)",964904,"(2192230, 152)",2192480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP033744.1,"Citrobacter freundii strain FDAARGOS_549 chromosome, complete genome",4974986,"([0.0], 0, [89060])",False,"(2703820, 2704320)",2704070,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP041925.1,"Klebsiella aerogenes strain Ka37751 chromosome, complete genome",5183422,"([0.0, 0.0], 0, [529900, 343980])",False,"(5166741, 5167241)",5166991,"(2189057, 2189557)",2189307,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
