RefSeq,Organism,Lineage,DoriC_oriC_0,DoriC_oriC_1,DoriC_oriC_2,DoriC_oriC_3,Sequence_length,False_order,GC_Concentration,Time,oriC_middles_0,oriC_middles_1,oriC_middles_2,oriC_middles_3,oriC_middles_4,oriC_middles_5,oriC_middles_6,oriC_middles_7,oriC_middles_8,oriC_middles_9,Avg_Occurance_oriC_0,Avg_Occurance_oriC_1,Avg_Occurance_oriC_2,Avg_Occurance_oriC_3,Avg_Occurance_oriC_4,Avg_Occurance_oriC_5,Avg_Occurance_oriC_6,Avg_Occurance_oriC_7,Avg_Occurance_oriC_8,Avg_Occurance_oriC_9,Z_Occurance_oriC_0,Z_Occurance_oriC_1,Z_Occurance_oriC_2,Z_Occurance_oriC_3,Z_Occurance_oriC_4,Z_Occurance_oriC_5,Z_Occurance_oriC_6,Z_Occurance_oriC_7,Z_Occurance_oriC_8,Z_Occurance_oriC_9,G_Occurance_oriC_0,G_Occurance_oriC_1,G_Occurance_oriC_2,G_Occurance_oriC_3,G_Occurance_oriC_4,G_Occurance_oriC_5,G_Occurance_oriC_6,G_Occurance_oriC_7,G_Occurance_oriC_8,G_Occurance_oriC_9,D_Occurance_oriC_0,D_Occurance_oriC_1,D_Occurance_oriC_2,D_Occurance_oriC_3,D_Occurance_oriC_4,D_Occurance_oriC_5,D_Occurance_oriC_6,D_Occurance_oriC_7,D_Occurance_oriC_8,D_Occurance_oriC_9,Prediction_oriC_0,Prediction_oriC_1,Prediction_oriC_2,Prediction_oriC_3,Prediction_oriC_4,Prediction_oriC_5,Prediction_oriC_6,Prediction_oriC_7,Prediction_oriC_8,Prediction_oriC_9
NC_018414,Candidatus Carsonella ruddii CE isolate Thao2000 chromosome,"Bacteria, Proteobacteria, Gammaproteobacteria, Candidatus Carsonella","(149552.0, 149875.0)",,,,162589,True,0.1397573021545123,"(5.689551115036011, 0.061606645584106445, 6.320199012756348)",108459,157425.0,45736.0,58683.0,77839.0,95844.0,14762.0,,,,0.3440860215053763,0.086021505376344,0.075268817204301,0.053763440860215,0.053763440860215,0.032258064516129,0.021505376344086,,,,0.032258064516129,0.2580645161290322,0.2258064516129032,0.1612903225806451,0.1612903225806451,0.0967741935483871,0.064516129032258,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,False,False,False,False,False,False,,,
NC_010845,Leptospira biflexa serovar Patoc strain 'Patoc 1 (Ames)' chromosome 1I,"Bacteria, Spirochaetes, Spirochaetales, Leptospiraceae, Leptospira","(277866.0, 73.0)",,,,277995,False,0.3927336822604723,"(17.110124826431274, 0.1062476634979248, 18.55516219139099)",180830,93505.0,65575.0,274901.0,160504.0,29075.0,126010.0,230536.0,,,0.1444444444444444,0.1222222222222222,0.1,0.0999999999999999,0.0888888888888888,0.0777777777777777,0.0222222222222222,0.0111111111111111,,,0.0333333333333333,0.0333333333333333,0.1666666666666666,0.1,0.3,0.2333333333333333,0.0666666666666666,0.0666666666666666,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.4,0.2,0.2,0.2,0.0,0.0,0.0,0.0,,,False,False,False,False,False,False,False,False,,
NC_000908,Mycoplasma genitalium G37,"Bacteria, Firmicutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(578582.0, 579223.0)",,,,580076,True,0.3168912349416283,"(20.222715139389038, 0.19544124603271484, 22.319643259048462)",578299,364656.0,480519.0,104160.0,288765.0,,,,,,0.4984659814948196,0.4374833272798534,0.2934421831105858,0.2315404772604617,0.0565084015119335,,,,,,0.5,0.2222222222222222,0.0555555555555555,0.0555555555555555,0.1666666666666666,,,,,,0.995397944484459,0.2568944262840047,0.6581043271095351,0.6390658762258297,0.002858537869134,,,,,,0.0,0.0,0.0,0.0,1.0,,,,,,False,False,False,False,False,,,,,
NC_017254,Buchnera aphidicola str. JF98 (Acyrthosiphon pisum) chromosome,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Buchnera","(641552.0, 200.0)",,,,641771,True,0.2632356401270858,"(36.078776836395264, 0.22285962104797363, 39.46942353248596)",638054,448079.0,,,,,,,,,0.9696969696969696,0.0303030303030303,,,,,,,,,0.9090909090909092,0.0909090909090909,,,,,,,,,1.0,0.0,,,,,,,,,1.0,0.0,,,,,,,,,True,False,,,,,,,,
NC_021891,Chlamydia trachomatis RC-J(s)/122,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(723622.0, 723918.0)",,,,1061854,False,0.4148960214869464,"(42.446743965148926, 0.235090970993042, 47.241899251937866)",9,723643.0,817614.0,,,,,,,,0.4488179353568025,0.39315801548161,0.2079728302964248,,,,,,,,0.1666666666666666,0.75,0.0833333333333333,,,,,,,,0.7353426949592966,0.2072518242226078,0.2072518242226079,,,,,,,,0.4444444444444444,0.2222222222222222,0.3333333333333333,,,,,,,,False,True,False,,,,,,,
NC_016777,Brucella abortus A13334 chromosome chromosome 2,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Brucellaceae, Brucella","(150016.0, 150425.0)",,,,1162259,False,0.5733584338774748,"(44.386921882629395, 0.272228479385376, 49.779072761535645)",148701,,,,,,,,,,0.3333333333333333,,,,,,,,,,1.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,True,,,,,,,,,
NC_020977,Chlamydia trachomatis L2b/Ams3 high quality draft genome sequence,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(716743.0, 717039.0)",,,,1038718,False,0.4131438946855643,"(63.04335021972656, 0.44690823554992676, 70.23719382286072)",4,716763.0,,,,,,,,,0.4740562579098268,0.4158222021430651,,,,,,,,,0.1818181818181818,0.8181818181818182,,,,,,,,,0.6689220204827273,0.0007133596759485,,,,,,,,,0.5714285714285714,0.4285714285714285,,,,,,,,,False,True,,,,,,,,
NC_011374,Ureaplasma urealyticum serovar 10 str. ATCC 33699,"Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Ureaplasma","(102547.0, 102771.0)",,,,874478,True,0.2577423331404563,"(65.53311824798584, 0.35852956771850586, 72.17425799369812)",451144,20182.0,206236.0,552440.0,,,,,,,0.4047619047619047,0.1666666666666666,0.0476190476190476,0.0476190476190476,,,,,,,0.2142857142857142,0.5,0.1428571428571428,0.1428571428571428,,,,,,,0.0,0.0,0.0,0.0,,,,,,,1.0,0.0,0.0,0.0,,,,,,,False,False,False,False,,,,,,
NC_017057,Rickettsia prowazekii str. RpGvF24 chromosome,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, typhus group","(1111717.0, 1112101.0)",,,,1112101,False,0.2898963313583928,"(64.16926646232605, 0.40652942657470703, 73.24759697914124)",8998,236184.0,,,,,,,,,0.6418046879650049,0.3106060606060606,,,,,,,,,0.8181818181818182,0.1818181818181818,,,,,,,,,0.3572322457131964,0.5,,,,,,,,,0.75,0.25,,,,,,,,,True,False,,,,,,,,
NC_020993,Rickettsia prowazekii str. Breinl,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, typhus group","(9382.0, 11018.0)",,,,1109301,False,0.290057432563389,"(64.45932626724243, 0.38893795013427734, 73.4964599609375)",770168,96524.0,533224.0,,,,,,,,0.5310836686403437,0.3813719418001533,0.2190778602869283,,,,,,,,0.75,0.0833333333333333,0.1666666666666666,,,,,,,,0.2003938630638883,0.917925349209984,0.2762811999084039,,,,,,,,0.6428571428571429,0.1428571428571428,0.2142857142857142,,,,,,,,True,False,False,,,,,,,
