RefSeq,Organism,Lineage,DoriC_oriC_0,DoriC_oriC_1,DoriC_oriC_2,DoriC_oriC_3,Sequence_length,False_order,oriC_edges_0,oriC_middles_0,oriC_edges_1,oriC_middles_1,oriC_edges_2,oriC_middles_2,oriC_edges_3,oriC_middles_3,oriC_edges_4,oriC_middles_4,oriC_edges_5,oriC_middles_5,oriC_edges_6,oriC_middles_6,oriC_edges_7,oriC_middles_7,oriC_edges_8,oriC_middles_8,N_penalty,O_penalty,D_penalty
NC_002696,Caulobacter crescentus CB15,"Bacteria, Proteobacteria, Alphaproteobacteria, Caulobacterales, Caulobacteraceae, Caulobacter","(4016703.0, 234.0)",,,,4016947,False,"(4012473, 4012973)",4012723,"(1132497, 1132997)",1132747.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[445170, 23070]"
NC_002947,Pseudomonas putida KT2440,"Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas","(8947.0, 9541.0)",,,,6181873,False,"(1410, 1910)",1660,,,,,,,,,,,,,,,,,[0.0],0,[32250]
NC_003047,Sinorhizobium meliloti 1021,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Sinorhizobium","(1.0, 477.0)",,,,3654135,False,"(3630647, 3631147)",3630897,,,,,,,,,,,,,,,,,[0.0],0,[405080]
NC_003272,Nostoc sp. PCC 7120,"Bacteria, Cyanobacteria, Nostocales, Nostocaceae, Nostoc","(2404398.0, 2404811.0)",,,,6413771,False,"(582976, 583476)",583226,"(31283, 31783)",31533.0,,,,,,,,,,,,,,,"[0.0, 0.0]",200,"[163400, 346320]"
NC_005363,Bdellovibrio bacteriovorus HD100,"Bacteria, Proteobacteria, Deltaproteobacteria, Bdellovibrionales, Bdellovibrionaceae, Bdellovibrio","(1417.0, 1648.0)",,,,3782950,False,"(5209, 5709)",5459,,,,,,,,,,,,,,,,,[0.0],0,[90620]
NC_009850,Arcobacter butzleri RM4018,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Campylobacteraceae, Arcobacter","(2341023.0, 2341251.0)",,,,2341251,False,"(24942, 25442)",25192,,,,,,,,,,,,,,,,,[0.0],0,[194400]
NC_010547,Cyanothece sp. ATCC 51142 chromosome linear,"Bacteria, Cyanobacteria, Chroococcales, Cyanothece","(373518.0, 373849.0)",,,,429701,False,"(340981, 341481)",341231,,,,,,,,,,,,,,,,,[0.0],0,[340440]
NZ_CP013119,"Alcaligenes faecalis strain ZD02, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Alcaligenes","(2414896.0, 2415782.0)",,,,4233756,False,"(2405578, 2406078)",2405828,"(4232237, 4232737)",4232487.0,,,,,,,,,,,,,,,"[2.3619688994831066e-05, 2.3619688994831066e-05]",0,"[144610, 12750]"
NZ_CP023706,"Edwardsiella tarda strain KC-Pc-HB1 chromosome, complete genome.","Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Hafniaceae, Edwardsiella","(1710954.0, 1711349.0)",,,,3638764,False,"(1714025, 1714525)",1714275,,,,,,,,,,,,,,,,,[0.0],0,[39520]
NZ_CP009467,"Vibrio harveyi strain ATCC 33843 (392 [MAV]) chromosome 1, complete sequence.","Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio","(216577.0, 217006.0)",,,,3621606,False,"(3602706, 3603206)",3602956,,,,,,,,,,,,,,,,,[0.0],200,[372510]
NZ_CP014056,"Grimontia hollisae strain ATCC 33564 chromosome 1, complete sequence.","Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Grimontia","(1264529.0, 1265077.0)",,,,3215321,False,"(1257949, 1258449)",1258199,,,,,,,,,,,,,,,,,[0.0],0,[299740]
NZ_CP020046,"Thiomonas intermedia strain ATCC 15466 chromosome, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Thiomonas","(1771091.0, 1771345.0)",,,,3301026,False,"(1777297, 1777797)",1777547,,,,,,,,,,,,,,,,,[0.0],0,[18580]
NZ_CP007656,Bdellovibrio bacteriovorus strain 109J,"Bacteria, Proteobacteria, Oligoflexia, Bdellovibrionales,Bdellovibrionaceae, Bdellovibrio","(2498806.0, 2499037.0)",,,,3830427,False,"(2487088, 2487588)",2487338,,,,,,,,,,,,,,,,,[5.22134999570544e-05],0,[400770]
NC_007604,Synechococcus elongatus PCC 7942,"Bacteria, Cyanobacteria, Chroococcales, Synechococcus","(2695796.0, 64.0)",,,,2695903,False,"(44520, 45020)",44770,"(2212780, 2213280)",2213030.0,"(1227427, 1227927)",1227677.0,"(2473456, 2473956)",2473706.0,,,,,,,,,,,"[0.0, 0.0, 0.0, 0.0]",0,"[338240, 412770, 537640, 375050]"
NZ_CP023501,"Weissella paramesenteroides strain FDAARGOS_414 chromosome, complete genome.","Bacteria, Firmicutes, Bacilli, Lactobacillales, Leuconostocaceae, Weissella","(1647842.0, 1648537.0)","(1646234.0, 1646437.0)",,,1947910,False,"(1645640, 1646140)",1645890,"(1947681, 272)",22.0,,,,,,,,,,,,,,,"[0.0, 0.0]",0,"[40400, 280]"
