RefSeq,Sequence_length,False_order,GC_Concentration,Time,oriC_middles_0,oriC_middles_1,oriC_middles_2,oriC_middles_3,oriC_middles_4,oriC_middles_5,oriC_middles_6,oriC_middles_7,oriC_middles_8,oriC_middles_9,Occurance_oriC_0,Occurance_oriC_1,Occurance_oriC_2,Occurance_oriC_3,Occurance_oriC_4,Occurance_oriC_5,Occurance_oriC_6,Occurance_oriC_7,Occurance_oriC_8,Occurance_oriC_9,Z_Occurance_oriC_0,Z_Occurance_oriC_1,Z_Occurance_oriC_2,Z_Occurance_oriC_3,Z_Occurance_oriC_4,Z_Occurance_oriC_5,Z_Occurance_oriC_6,Z_Occurance_oriC_7,Z_Occurance_oriC_8,Z_Occurance_oriC_9,G_Occurance_oriC_0,G_Occurance_oriC_1,G_Occurance_oriC_2,G_Occurance_oriC_3,G_Occurance_oriC_4,G_Occurance_oriC_5,G_Occurance_oriC_6,G_Occurance_oriC_7,G_Occurance_oriC_8,G_Occurance_oriC_9,D_Occurance_oriC_0,D_Occurance_oriC_1,D_Occurance_oriC_2,D_Occurance_oriC_3,D_Occurance_oriC_4,D_Occurance_oriC_5,D_Occurance_oriC_6,D_Occurance_oriC_7,D_Occurance_oriC_8,D_Occurance_oriC_9
NC_018414,162589,True,0.1397573021545123,9.614930868148804,157425,45736,58683,77839,95844,14762,108459,nan,nan,nan,0.08602150537634408,0.07526881720430108,0.053763440860215055,0.053763440860215055,0.03225806451612903,0.02150537634408602,0.01075268817204301,nan,nan,nan,0.25806451612903225,0.22580645161290322,0.16129032258064516,0.16129032258064516,0.0967741935483871,0.06451612903225806,0.03225806451612903,nan,nan,nan,0,0,0,0,0,0,0,nan,nan,nan,0,0,0,0,0,0,0,nan,nan,nan
NC_010845,277995,False,0.3927336822604723,22.61228060722351,274901,29075,93505,65575,126010,160504,180830,230536,nan,nan,0.09999999999999999,0.07777777777777778,0.05555555555555555,0.03333333333333333,0.022222222222222223,0.022222222222222223,0.011111111111111112,0.011111111111111112,nan,nan,0.3,0.23333333333333334,0.16666666666666666,0.1,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,nan,nan,0,0,0,0,0,0,0,0,nan,nan,0,0,0,0,0,0,0,0,nan,nan
NC_000908,580076,True,0.31689123494162835,42.579819679260254,578299,480519,104160,364656,288765,nan,nan,nan,nan,nan,0.49846598149481963,0.2934421831105858,0.056508401511933565,0.23154047726046176,0.1041499939465201,nan,nan,nan,nan,nan,0.5,0.2222222222222222,0.16666666666666666,0.05555555555555555,0.05555555555555555,nan,nan,nan,nan,nan,0.995397944484459,0.6581043271095351,0.002858537869134037,0.6390658762258297,0.2568944262840047,nan,nan,nan,nan,nan,0,0,0,0,0,nan,nan,nan,nan,nan
NC_017254,641771,True,0.26323564012708583,53.349233865737915,638054,448079,nan,nan,nan,nan,nan,nan,nan,nan,0.6363636363636364,0.030303030303030304,nan,nan,nan,nan,nan,nan,nan,nan,0.9090909090909091,0.09090909090909091,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
NZ_CP011348,990348,True,0.2929354126024387,71.71094107627869,16924,210990,736776,623840,379402,486513,nan,nan,nan,nan,0.19203307072154333,0.2642048601616123,0.39215686274509803,0.1250513433962841,0.1937682551688191,0.0196078431372549,nan,nan,nan,nan,0.3235294117647059,0.20588235294117646,0.17647058823529413,0.14705882352941177,0.08823529411764706,0.058823529411764705,nan,nan,nan,nan,0.25256980039992416,0.5867322275436605,1.0,0.2280952066594405,0.4930694713888102,0.0,nan,nan,nan,nan,0,0,0,0,0,0,nan,nan,nan,nan
NC_011374,874478,True,0.25774233314045636,66.2728328704834,20182,451144,206236,552440,nan,nan,nan,nan,nan,nan,0.16666666666666666,0.07142857142857142,0.047619047619047616,0.047619047619047616,nan,nan,nan,nan,nan,nan,0.5,0.21428571428571427,0.14285714285714285,0.14285714285714285,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan
NC_018410,939844,True,0.31561727265375955,71.07823991775513,841421,939719,nan,nan,nan,nan,nan,nan,nan,nan,0.20833333333333334,0.125,nan,nan,nan,nan,nan,nan,nan,nan,0.625,0.375,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
NC_020993,1109301,False,0.290057432563389,75.08859920501709,96524,770168,533224,nan,nan,nan,nan,nan,nan,nan,0.31679795435462943,0.14764928885835685,0.3337528941811057,nan,nan,nan,nan,nan,nan,nan,0.75,0.16666666666666666,0.08333333333333333,nan,nan,nan,nan,nan,nan,nan,0.2003938630638883,0.27628119990840394,0.9179253492099839,nan,nan,nan,nan,nan,nan,nan,0,0,0,nan,nan,nan,nan,nan,nan,nan
NC_021846,1075140,True,0.23873449039194897,76.05196738243103,8,876468,nan,nan,nan,nan,nan,nan,nan,nan,0.5822109792393656,0.0844556874273011,nan,nan,nan,nan,nan,nan,nan,nan,0.75,0.25,nan,nan,nan,nan,nan,nan,nan,nan,0.9966329377180967,0.0033670622819033103,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
NC_020977,1038718,False,0.41314389468556434,81.56660270690918,4,716763,nan,nan,nan,nan,nan,nan,nan,nan,0.27296505928592224,0.2835800674336364,nan,nan,nan,nan,nan,nan,nan,nan,0.8181818181818182,0.18181818181818182,nan,nan,nan,nan,nan,nan,nan,nan,0.0007133596759485439,0.6689220204827273,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan
NC_003361,1173390,False,0.3922293525596775,85.33497333526611,1171803,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
