RefSeq,Sequence_length,GC_Concentration,Time,oriC_middles_0,oriC_middles_1,oriC_middles_2,oriC_middles_3,oriC_middles_4,oriC_middles_5,oriC_middles_6,oriC_middles_7,oriC_middles_8,oriC_middles_9,Avg_Occurance_oriC_0,Avg_Occurance_oriC_1,Avg_Occurance_oriC_2,Avg_Occurance_oriC_3,Avg_Occurance_oriC_4,Avg_Occurance_oriC_5,Avg_Occurance_oriC_6,Avg_Occurance_oriC_7,Avg_Occurance_oriC_8,Avg_Occurance_oriC_9,Z_Occurance_oriC_0,Z_Occurance_oriC_1,Z_Occurance_oriC_2,Z_Occurance_oriC_3,Z_Occurance_oriC_4,Z_Occurance_oriC_5,Z_Occurance_oriC_6,Z_Occurance_oriC_7,Z_Occurance_oriC_8,Z_Occurance_oriC_9,G_A_Occurance_oriC_0,G_A_Occurance_oriC_1,G_A_Occurance_oriC_2,G_A_Occurance_oriC_3,G_A_Occurance_oriC_4,G_A_Occurance_oriC_5,G_A_Occurance_oriC_6,G_A_Occurance_oriC_7,G_A_Occurance_oriC_8,G_A_Occurance_oriC_9,G_N_Occurance_oriC_0,G_N_Occurance_oriC_1,G_N_Occurance_oriC_2,G_N_Occurance_oriC_3,G_N_Occurance_oriC_4,G_N_Occurance_oriC_5,G_N_Occurance_oriC_6,G_N_Occurance_oriC_7,G_N_Occurance_oriC_8,G_N_Occurance_oriC_9,D_Occurance_oriC_0,D_Occurance_oriC_1,D_Occurance_oriC_2,D_Occurance_oriC_3,D_Occurance_oriC_4,D_Occurance_oriC_5,D_Occurance_oriC_6,D_Occurance_oriC_7,D_Occurance_oriC_8,D_Occurance_oriC_9
NC_018414,162589,0.1397573021545123,"(10.714140892028809, 0.15978479385375977, 15.873010873794556)",108459,157425,45736,58683,77839,95844,14762,nan,nan,nan,0.25806451612903225,0.06451612903225806,0.056451612903225805,0.04032258064516129,0.04032258064516129,0.024193548387096774,0.016129032258064516,nan,nan,nan,0.03225806451612903,0.25806451612903225,0.22580645161290322,0.16129032258064516,0.16129032258064516,0.0967741935483871,0.06451612903225806,nan,nan,nan,0,0,0,0,0,0,0,nan,nan,nan,0,0,0,0,0,0,0,nan,nan,nan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
NC_010845,277995,0.3927336822604723,"(17.966770887374878, 0.20897412300109863, 23.213680267333984)",180830,93505,65575,274901,160504,29075,126010,230536,nan,nan,0.10833333333333334,0.09166666666666667,0.07500000000000001,0.075,0.06666666666666667,0.058333333333333334,0.016666666666666666,0.008333333333333333,nan,nan,0.03333333333333333,0.03333333333333333,0.16666666666666666,0.1,0.3,0.23333333333333334,0.06666666666666667,0.06666666666666667,nan,nan,0,0,0,0,0,0,0,0,nan,nan,0,0,0,0,0,0,0,0,nan,nan,0.4,0.2,0.2,0.2,0.0,0.0,0.0,0.0,nan,nan
NC_000908,580076,0.31689123494162835,"(31.23082709312439, 0.20212626457214355, 36.35051202774048)",364656,288765,480519,104160,578299,nan,nan,nan,nan,nan,0.6359421306369447,0.5416666666666667,0.22548454513967542,0.19336450990866405,0.125,nan,nan,nan,nan,nan,0.16666666666666666,0.2222222222222222,0.05555555555555555,0.05555555555555555,0.5,nan,nan,nan,nan,nan,0.7510079971878021,1.0,0.34372088935758854,0.3510677563933562,0.0,nan,nan,nan,nan,nan,0.7372049698044213,1.0,0.3359950689788908,0.3668347276857444,0.0,nan,nan,nan,nan,nan,1.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
NC_018410,939844,0.31561727265375955,"(56.41102313995361, 0.33870720863342285, 66.47125935554504)",841421,939719,nan,nan,nan,nan,nan,nan,nan,nan,0.28125,0.21875,nan,nan,nan,nan,nan,nan,nan,nan,0.625,0.375,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,0.5,0.5,nan,nan,nan,nan,nan,nan,nan,nan
NC_011374,874478,0.25774233314045636,"(54.753408908843994, 0.24627017974853516, 64.420006275177)",451144,20182,206236,552440,nan,nan,nan,nan,nan,nan,0.30357142857142855,0.125,0.03571428571428571,0.03571428571428571,nan,nan,nan,nan,nan,nan,0.21428571428571427,0.5,0.14285714285714285,0.14285714285714285,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,0,0,0,0,nan,nan,nan,nan,nan,nan,1.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan
NC_020977,1038718,0.41314389468556434,"(69.81697249412537, 0.34994959831237793, 80.17557549476624)",716763,4,nan,nan,nan,nan,nan,nan,nan,nan,0.8116883116883117,0.18831168831168832,nan,nan,nan,nan,nan,nan,nan,nan,0.8181818181818182,0.18181818181818182,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.42857142857142855,0.5714285714285714,nan,nan,nan,nan,nan,nan,nan,nan
NC_020993,1109301,0.290057432563389,"(69.6711106300354, 0.35053467750549316, 80.9728651046753)",770168,533224,96524,nan,nan,nan,nan,nan,nan,nan,0.7505133468546566,0.43099294196184307,0.05654761904761904,nan,nan,nan,nan,nan,nan,nan,0.75,0.16666666666666666,0.08333333333333333,nan,nan,nan,nan,nan,nan,nan,0.6091962445614838,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,0.34301938689499134,0.0,nan,nan,nan,nan,nan,nan,nan,0.6428571428571429,0.21428571428571427,0.14285714285714285,nan,nan,nan,nan,nan,nan,nan
NC_003361,1173390,0.3922293525596775,"(71.42225503921509, 0.4404475688934326, 81.77163887023926)",1171803,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
NC_021846,1075140,0.23873449039194897,"(66.6462619304657, 0.41550350189208984, 77.94928479194641)",876468,8,nan,nan,nan,nan,nan,nan,nan,nan,0.5625,0.4375,nan,nan,nan,nan,nan,nan,nan,nan,0.25,0.75,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan
NC_014921,1118751,0.26859506717759357,"(69.6914312839508, 0.37172818183898926, 80.43991756439209)",592165,699274,411879,806937,185779,1048340,nan,nan,nan,nan,0.555128205128205,0.4293958472976942,0.3872316910542372,0.33895370225945115,0.2387691057047664,0.191025641025641,nan,nan,nan,nan,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.23333333333333334,0.5333333333333333,nan,nan,nan,nan,1.0,0.7652019510056448,0.7441771250068504,0.5291894558009536,0.24853400558996,0.0,nan,nan,nan,nan,1.0,0.7652019510056448,0.7380829725434318,0.5291894558009536,0.24243985312654134,0.0,nan,nan,nan,nan,0.15384615384615385,0.15384615384615385,0.0,0.23076923076923078,0.23076923076923078,0.23076923076923078,nan,nan,nan,nan
