RefSeq,Organism,Lineage,DoriC_oriC_0,DoriC_oriC_1,DoriC_oriC_2,DoriC_oriC_3,Sequence_length,N_penalty,O_penalty,D_penalty,False_order,oriC_edges_0,oriC_middles_0,oriC_edges_1,oriC_middles_1,oriC_edges_2,oriC_middles_2,oriC_edges_3,oriC_middles_3,oriC_edges_4,oriC_middles_4,oriC_edges_5,oriC_middles_5,oriC_edges_6,oriC_middles_6,oriC_edges_7,oriC_middles_7,oriC_edges_8,oriC_middles_8,xy_oriC_0,xy_oriC_1,xy_oriC_2,xy_oriC_3,xy_oriC_4,xy_oriC_5,xy_oriC_6,xy_oriC_7,xy_oriC_8,xgc_oriC_0,xgc_oriC_1,xgc_oriC_2,xgc_oriC_3,xgc_oriC_4,xgc_oriC_5,xgc_oriC_6,xgc_oriC_7,ygc_oriC_0,ygc_oriC_1,ygc_oriC_2,ygc_oriC_3,ygc_oriC_4,ygc_oriC_5,ygc_oriC_6,ygc_oriC_7,ygc_oriC_8
NC_012806,Mycoplasma conjunctivae,"Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(845675.0, 100.0)",,,,846214,0.003401030944891,0,"[184230, 233910]",True,"(776875, 777375)",777125,"(78671, 79171)",78921.0,,,,,,,,,,,,,,,777125.0,78921.0,,,,,,,,79.0,686739.0,,,,,,,299362.0,,,,,,,,
NC_016842,Treponema pallidum subsp. pertenue str. SamoaD chromosome,"Bacteria, Spirochaetes, Spirochaetales, Spirochaetaceae, Treponema","(1399.0, 1640.0)",,,,1139330,0.0002018730306408,0,[8920],False,"(2609, 3109)",2859,,,,,,,,,,,,,,,,,2859.0,,,,,,,,,2239.0,,,,,,,,2685.0,,,,,,,,
NC_010528,Cupriavidus taiwanensis,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Cupriavidus","(3416800.0, 706.0)",,,,3416911,0.0,0,[889380],False,"(3381307, 3381807)",3381557,,,,,,,,,,,,,,,,,3381557.0,,,,,,,,,3379958.0,,,,,,,,7517.0,3030912.0,,,,,,,
NC_010530,Cupriavidus taiwanensis,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Cupriavidus","(2500913.0, 88.0)",,,,2502411,0.0,0,[5760],False,"(209, 709)",459,,,,,,,,,,,,,,,,,459.0,,,,,,,,,295.0,,,,,,,,583.0,,,,,,,,
NC_015312,Pseudonocardia dioxanivorans CB1190 chromosome,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Pseudonocardineae, Pseudonocardiaceae, Pseudonocardia","(5169.0, 5310.0)",,,,7096571,0.0,0,[1550980],False,"(7015749, 7016249)",7015999,,,,,,,,,,,,,,,,,7015999.0,,,,,,,,,7015970.0,,,,,,,,7093519.0,5764827.0,,,,,,,
NC_021039,Ruminococcus champanellensis 18P13,"Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminococcus","(300625.0, 302959.0)",,,,2573208,0.0464999331573662,0,"[529130, 244870]",True,"(441329, 441829)",441579,"(13440, 13940)",13690.0,,,,,,,,,,,,,,,441579.0,13690.0,,,,,,,,443689.0,14734.0,,,,,,,2491.0,417233.0,,,,,,,
NC_021016,Butyrate-producing bacterium SSC/2,"Bacteria, Firmicutes, Clostridia, Clostridiales","(71311.0, 71716.0)","(69685.0, 69966.0)",,,3114788,0.0204858243963955,0,[64850],False,"(3111295, 3111795)",3111545,,,,,,,,,,,,,,,,,3111545.0,,,,,,,,,7.0,817248.0,382882.0,,,,,,3111552.0,,,,,,,,
NC_021038,Synergistetes bacterium SGP1,"Bacteria, Synergistetes, Synergistia, Synergistales, Synergistaceae, Fretibacterium","(2175782.0, 2177754.0)",,,,2728333,0.2985042514971596,0,"[343540, 370, 44170]",True,"(63675, 64175)",63925,"(1357987, 1358487)",1358237.0,"(2580245, 2580745)",2580495.0,,,,,,,,,,,,,63925.0,1358237.0,2580495.0,,,,,,,1358207.0,63906.0,2322473.0,2584427.0,,,,,63925.0,1360415.0,529745.0,2601604.0,,,,,
NC_016818,Rahnella aquatilis CIP 78.65 = ATCC 33071 chromosome,"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Rahnella","(4828078.0, 4828456.0)",,,,4861101,0.0,0,[317930],False,"(4846027, 4846527)",4846277,,,,,,,,,,,,,,,,,4846277.0,,,,,,,,,985.0,,,,,,,,4846189.0,,,,,,,,
NC_017521,Mycoplasma leachii 99/014/6,"Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(1016939.0, 1017232.0)","(1354.0, 1536.0)",,,1017232,0.0004915299558016,0,[250380],False,"(177146, 177646)",177396,,,,,,,,,,,,,,,,,177396.0,,,,,,,,,38.0,904998.0,189788.0,807873.0,419614.0,,,,177269.0,,,,,,,,
NC_014145,Thiomonas sp. 3As,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Thiomonas","(1739.0, 1988.0)",,,,3738778,0.0020953370325812,0,[669920],False,"(31434, 31934)",31684,,,,,,,,,,,,,,,,,31684.0,,,,,,,,,40055.0,3079436.0,,,,,,,73551.0,,,,,,,,
NC_020055,Desulfovibrio hydrothermalis AM13 = DSM 14728 chromosome,"Bacteria, Proteobacteria, Deltaproteobacteria, Desulfovibrionales, Desulfovibrionaceae, Desulfovibrio","(1623402.0, 1624426.0)",,,,3703034,2.700488302294821e-05,0,[303750],False,"(23707, 24207)",23957,,,,,,,,,,,,,,,,,23957.0,,,,,,,,,23949.0,,,,,,,,1097978.0,8761.0,,,,,,,
NC_020054,Fibrella aestuarina BUZ 2 drat genome,"Bacteria, Bacteroidetes, Cytophagia, Cytophagales, Cytophagaceae, Fibrella","(601122.0, 601578.0)",,,,6775444,0.0011962315679976,0,[233430],False,"(594823, 595323)",595073,,,,,,,,,,,,,,,,,595073.0,,,,,,,,,585794.0,,,,,,,,597465.0,,,,,,,,
NC_020504,Streptomyces davawensis JCM 4913,"Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Streptomycineae, Streptomycetaceae, Streptomyces","(5046457.0, 5047209.0)",,,,9466619,0.0003057057646452,0,"[1074680, 47480]",False,"(640486, 640986)",640736,"(4820998, 4821498)",4821248.0,,,,,,,,,,,,,,,640736.0,4821248.0,,,,,,,,638539.0,7555152.0,5872790.0,,,,,,640913.0,8530612.0,1484137.0,3952935.0,,,,,
NC_021081,Meiothermus ruber DSM 1279 genome,"Bacteria, Deinococcus-Thermus, Deinococci, Thermales, Thermaceae, Meiothermus","(1457263.0, 1457491.0)","(1455336.0, 1455942.0)",,,3098881,3.2269712841506335e-05,0,[134640],False,"(6500, 7000)",6750,,,,,,,,,,,,,,,,,6750.0,,,,,,,,,8025.0,,,,,,,,1293.0,,,,,,,,
NC_021487,Chthonomonas calidirosea T49 complete genome,"Bacteria, Armatimonadetes, Chthonomonadetes, Chthonomonadales, Chthonomonadaceae, Chthonomonas","(2289384.0, 2290242.0)",,,,3437861,0.0030556790981368,0,[144610],False,"(2297972, 2298472)",2298222,,,,,,,,,,,,,,,,,2298222.0,,,,,,,,,2299943.0,,,,,,,,2292713.0,,,,,,,,
NC_022444,Desulfovibrio gigas DSM 1382 = ATCC 19364 genome,"Bacteria, Proteobacteria, Deltaproteobacteria, Desulfovibrionales, Desulfovibrionaceae, Desulfovibrio","(3611064.0, 3611504.0)",,,,3693999,0.0190858200015755,0,"[183710, 295600, 131150]",True,"(1212829, 1213329)",1213079,"(3519431, 3519931)",3519681.0,"(2178961, 2179461)",2179211.0,,,,,,,,,,,,,1213079.0,3519681.0,2179211.0,,,,,,,3527898.0,1213079.0,2179197.0,,,,,,1203894.0,3513118.0,2185754.0,,,,,,
NZ_CP015285,"Azospirillum humicireducens strain SgZ-5, complete genome.","Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Rhodospirillaceae, Azospirillum","(2608533.0, 2609034.0)",,,,3181617,0.0,0,"[13280, 108110]",True,"(3110057, 3110557)",3110307,"(33202, 33702)",33452.0,,,,,,,,,,,,,,,3110307.0,33452.0,,,,,,,,33216.0,3110889.0,2483166.0,,,,,,3110225.0,27810.0,2536761.0,,,,,,
NZ_CP013119,"Alcaligenes faecalis strain ZD02, complete genome.","Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Alcaligenes","(2414896.0, 2415782.0)",,,,4233756,4.7239377989662133e-07,0,"[144610, 12750]",False,"(2405578, 2406078)",2405828,"(4232237, 4232737)",4232487.0,,,,,,,,,,,,,,,2405828.0,4232487.0,,,,,,,,2404550.0,4233436.0,,,,,,,2411781.0,4232798.0,,,,,,,
NC_012489,Gemmatimonas aurantiaca T-27,"Bacteria, Gemmatimonadetes, Gemmatimonadales, Gemmatimonadaceae, Gemmatimonas","(4636759.0, 100.0)","(1520.0, 1752.0)",,,4636964,0.0,0,"[854040, 73540]",True,"(3416, 3916)",3666,"(4125965, 4126465)",4126215.0,,,,,,,,,,,,,,,3666.0,4126215.0,,,,,,,,2862.0,2125402.0,4117038.0,,,,,,4636147.0,4159740.0,,,,,,,
NZ_CP014159,"Aerococcus christensenii strain CCUG28831, complete genome.","Bacteria, Firmicutes, Bacilli, Lactobacillales, Aerococcaceae, Aerococcus","(687512.0, 687730.0)","(685877.0, 686167.0)",,,1634920,0.0,0,[152700],False,"(693869, 694369)",694119,,,,,,,,,,,,,,,,,694119.0,,,,,,,,,687504.0,,,,,,,,695139.0,,,,,,,,
NZ_CP009416,"Jeotgalibacillus malaysiensis strain D5 chromosome, complete genome.","Bacteria, Firmicutes, Bacilli, Bacillales, Planococcaceae, Jeotgalibacillus","(1870.0, 2057.0)",,,,3516439,0.0,0,[4740],False,"(3516153, 213)",3516403,,,,,,,,,,,,,,,,,3516403.0,,,,,,,,,3516403.0,,,,,,,,202.0,,,,,,,,
NC_009718,Fervidobacterium nodosum Rt17-B1,"Bacteria, Thermotogae, Thermotogales, Thermotogaceae, Fervidobacterium","(1948471.0, 42.0)",,,,1948941,0.0,0,"[392170, 199780, 249270]",True,"(1930704, 1931204)",1930954,"(624125, 624625)",624375.0,"(1006908, 1007408)",1007158.0,,,,,,,,,,,,,1930954.0,624375.0,1007158.0,,,,,,,615986.0,400653.0,994689.0,,,,,,1386334.0,625975.0,1806838.0,1007152.0,,,,,
NC_008229,Helicobacter acinonychis str. Sheeba,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter","(1553787.0, 1553927.0)",,,,1553927,0.0,0,"[462620, 20620]",False,"(778, 1278)",1028,"(1130105, 1130605)",1130355.0,,,,,,,,,,,,,,,1028.0,1130355.0,,,,,,,,2298.0,1401061.0,,,,,,,1268.0,688522.0,,,,,,,
NZ_LT630287,"Lactobacillus acidipiscis strain ACA-DC 1533 genome assembly, chromosome: I.","Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus","(2606823.0, 2607423.0)","(1372.0, 1613.0)",,,2607423,0.0,0,[38150],False,"(2263, 2763)",2513,,,,,,,,,,,,,,,,,2513.0,,,,,,,,,1146.0,,,,,,,,3053.0,,,,,,,,
NZ_CP013213,"Erysipelothrix larvae strain LV19 chromosome, complete genome.","Bacteria, Firmicutes, Erysipelotrichia, Erysipelotrichales, Erysipelotrichaceae, Erysipelothrix","(2494628.0, 2495108.0)",,,,2495108,0.0,0,[434980],False,"(21481, 21981)",21731,,,,,,,,,,,,,,,,,21731.0,,,,,,,,,2495090.0,,,,,,,,21732.0,,,,,,,,
NC_010161,Bartonella tribocorum CIP 105476,"Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bartonellaceae, Bartonella","(2618505.0, 2619061.0)",,,,2619061,0.0,0,[382620],False,"(2598510, 2599010)",2598760,,,,,,,,,,,,,,,,,2598760.0,,,,,,,,,2598761.0,,,,,,,,2617892.0,,,,,,,,
