,RefSeq_oriC,Z_occurance,G_A_occurance,G_N_occurance,D_occurance,Correct
0,NC_018414_0,0.032258064516129,0.0,0.0,1.0,False
1,NC_018414_1,0.2580645161290322,0.0,0.0,0.0,False
2,NC_018414_2,0.2258064516129032,0.0,0.0,0.0,False
3,NC_018414_3,0.1612903225806451,0.0,0.0,0.0,False
4,NC_018414_4,0.1612903225806451,0.0,0.0,0.0,False
5,NC_018414_5,0.0967741935483871,0.0,0.0,0.0,False
6,NC_018414_6,0.064516129032258,0.0,0.0,0.0,False
7,NC_010845_0,0.0333333333333333,0.0,0.0,0.4,False
8,NC_010845_1,0.0333333333333333,0.0,0.0,0.2,False
9,NC_010845_2,0.1666666666666666,0.0,0.0,0.2,False
10,NC_010845_3,0.1,0.0,0.0,0.2,True
11,NC_010845_4,0.3,0.0,0.0,0.0,False
12,NC_010845_5,0.2333333333333333,0.0,0.0,0.0,False
13,NC_010845_6,0.0666666666666666,0.0,0.0,0.0,False
14,NC_010845_7,0.0666666666666666,0.0,0.0,0.0,False
15,NC_000908_0,0.1666666666666666,0.7510079971878021,0.7372049698044213,1.0,False
16,NC_000908_1,0.2222222222222222,1.0,1.0,0.0,False
17,NC_000908_2,0.0555555555555555,0.3437208893575885,0.3359950689788908,0.0,False
18,NC_000908_3,0.0555555555555555,0.3510677563933562,0.3668347276857444,0.0,False
19,NC_000908_4,0.5,0.0,0.0,0.0,True
20,NC_018410_0,0.625,0.0,0.0,0.5,False
21,NC_018410_1,0.375,0.0,0.0,0.5,True
22,NC_011374_0,0.2142857142857142,0.0,0.0,1.0,False
23,NC_011374_1,0.5,0.0,0.0,0.0,False
24,NC_011374_2,0.1428571428571428,0.0,0.0,0.0,False
25,NC_011374_3,0.1428571428571428,0.0,0.0,0.0,False
26,NC_020977_0,0.8181818181818182,1.0,1.0,0.4285714285714285,True
27,NC_020977_1,0.1818181818181818,0.0,0.0,0.5714285714285714,False
28,NC_020993_0,0.75,0.6091962445614838,1.0,0.6428571428571429,False
29,NC_020993_1,0.1666666666666666,1.0,0.3430193868949913,0.2142857142857142,False
30,NC_020993_2,0.0833333333333333,0.0,0.0,0.1428571428571428,False
31,NC_003361_0,1.0,1.0,1.0,1.0,True
32,NC_021846_0,0.25,1.0,1.0,0.0,False
33,NC_021846_1,0.75,0.0,0.0,1.0,True
34,NC_014921_0,0.0666666666666666,1.0,1.0,0.1538461538461538,False
35,NC_014921_1,0.0666666666666666,0.7652019510056448,0.7652019510056448,0.1538461538461538,False
36,NC_014921_2,0.0666666666666666,0.7441771250068504,0.7380829725434318,0.0,False
37,NC_014921_3,0.0333333333333333,0.5291894558009536,0.5291894558009536,0.2307692307692307,False
38,NC_014921_4,0.2333333333333333,0.24853400558996,0.2424398531265413,0.2307692307692307,False
39,NC_014921_5,0.5333333333333333,0.0,0.0,0.2307692307692307,False
40,NC_004311_0,0.1,0.0,0.0,1.0,False
41,NC_004311_1,0.9,0.0,0.0,0.0,True
42,NC_017057_0,0.8181818181818182,1.0,0.0,0.75,True
43,NC_017057_1,0.1818181818181818,0.0,1.0,0.25,False
44,NC_012687_0,0.8181818181818182,1.0,1.0,0.3333333333333333,True
45,NC_012687_1,0.1818181818181818,0.0,0.0,0.6666666666666666,False
46,NC_010280_0,1.0,1.0,1.0,1.0,True
47,NC_021891_0,0.75,1.0,0.5214180582929724,0.2222222222222222,True
48,NC_021891_1,0.0833333333333333,0.7221593109789811,1.0,0.3333333333333333,False
49,NC_021891_2,0.1666666666666666,0.0,0.0,0.4444444444444444,False
50,NC_022998_0,1.0,1.0,1.0,1.0,True
51,NC_010263_0,0.875,1.0,1.0,0.6363636363636364,True
52,NC_010263_1,0.125,0.0,0.0,0.3636363636363636,False
53,NC_017044_0,0.5833333333333334,1.0,0.0,1.0,True
54,NC_017044_1,0.4166666666666667,0.0,1.0,0.0,False
55,NC_016777_0,1.0,0.0,0.0,0.0,True
56,NZ_CP011487_0,0.2142857142857142,1.0,0.3469242108145988,0.2093023255813953,False
57,NZ_CP011487_1,0.0714285714285714,0.3252445525981581,1.0,0.2790697674418604,False
58,NZ_CP011487_2,0.25,0.0,0.7081024914013226,0.1395348837209302,False
59,NZ_CP011487_3,0.3214285714285714,0.75242139113269,0.0,0.1395348837209302,True
60,NZ_CP011487_4,0.1071428571428571,0.3089393815819478,0.4090892248705164,0.1162790697674418,False
61,NZ_CP011487_5,0.0357142857142857,0.5268903828452823,0.1981409135943679,0.1162790697674418,False
62,NZ_CP007606_0,0.3333333333333333,0.5667283050075732,0.6541567726867604,0.3333333333333333,False
63,NZ_CP007606_1,0.0555555555555555,1.0,0.2321599344232433,0.0909090909090909,False
64,NZ_CP007606_2,0.0555555555555555,0.6164806675525242,0.0,0.1818181818181818,True
65,NZ_CP007606_3,0.4444444444444444,0.0,1.0,0.1212121212121212,False
66,NZ_CP007606_4,0.1111111111111111,0.2373900034381185,0.2654076102867031,0.2727272727272727,False
67,NZ_CP006820_0,0.3214285714285714,1.0,0.3352434891480338,0.2571428571428571,False
68,NZ_CP006820_1,0.3214285714285714,0.2653769366957297,1.0,0.2285714285714285,False
69,NZ_CP006820_2,0.0357142857142857,0.8247187136892188,0.0,0.1428571428571428,True
70,NZ_CP006820_3,0.0357142857142857,0.0,0.8824828092531776,0.1428571428571428,False
71,NZ_CP006820_4,0.1785714285714285,0.3886633575863997,0.3945841773023146,0.1428571428571428,False
72,NZ_CP006820_5,0.1071428571428571,0.5844090741819299,0.2174549173074275,0.0857142857142857,False
73,NC_017358_0,0.1666666666666666,0.6886125120994447,0.5983155036988642,0.2407407407407407,False
74,NC_017358_1,0.0416666666666666,0.3056969280146722,1.0,0.1666666666666666,False
75,NC_017358_2,0.0416666666666666,0.505486779764634,0.7904172896016289,0.1666666666666666,False
76,NC_017358_3,0.4166666666666667,1.0,0.1984841136554024,0.074074074074074,False
77,NC_017358_4,0.125,0.7769677517958123,0.0,0.0925925925925925,True
78,NC_017358_5,0.125,0.4140926690101381,0.380661693875397,0.1111111111111111,False
79,NC_017358_6,0.0833333333333333,0.0,0.8150514447414937,0.1481481481481481,False
80,NC_017741_0,0.0666666666666666,0.6036917232506321,1.0,0.3421052631578947,False
81,NC_017741_1,0.3,0.0,0.9074148754182342,0.131578947368421,False
82,NC_017741_2,0.3,1.0,0.0,0.1578947368421052,True
83,NC_017741_3,0.3,0.6561149239617028,0.3120464334314814,0.1578947368421052,False
84,NC_017741_4,0.0333333333333333,0.3794386113016409,0.563106635215088,0.2105263157894736,False
85,NC_008817_0,0.3333333333333333,0.681719400663523,0.8961492240145004,0.0,False
86,NC_008817_1,0.2857142857142857,1.0,0.3832313360911589,0.3125,False
87,NC_008817_2,0.1428571428571428,0.0,1.0,0.375,True
88,NC_008817_3,0.1428571428571428,0.8557588182596797,0.1493568819383574,0.0625,False
89,NC_008817_4,0.0476190476190476,0.3713193671920377,0.2465464381611146,0.125,False
90,NC_008817_5,0.0476190476190476,0.5243086661613129,0.0,0.125,False
91,NC_000919_0,0.0909090909090909,1.0,1.0,0.1666666666666666,False
92,NC_000919_1,0.0909090909090909,0.0,0.0,0.1666666666666666,True
93,NC_000919_2,0.8181818181818182,0.4790997272283723,0.4830127232081252,0.6666666666666666,False
94,NZ_CP025399_0,0.1,1.0,1.0,0.2777777777777778,False
95,NZ_CP025399_1,0.9,0.0,0.0,0.7222222222222222,True
96,NC_018673_0,1.0,1.0,1.0,1.0,True
97,NC_021834_0,0.2857142857142857,1.0,1.0,0.1578947368421052,False
98,NC_021834_1,0.2142857142857142,0.2027157873062253,0.2027157873062253,0.4210526315789473,False
99,NC_021834_2,0.5,0.0,0.0,0.4210526315789473,True
100,NC_017587_0,0.0555555555555555,1.0,1.0,1.0,False
101,NC_017587_1,0.0555555555555555,0.0,0.0,0.0,True
102,NC_017587_2,0.0555555555555555,0.6409792844520052,0.6409792844520052,0.0,False
103,NC_017587_3,0.5,0.5546861417319369,0.5513278153492681,0.0,False
104,NC_017587_4,0.1111111111111111,0.4432902795597643,0.4432902795597643,0.0,False
105,NC_017587_5,0.1111111111111111,0.3632494338601167,0.3598911074774479,0.0,False
106,NC_017587_6,0.1111111111111111,0.2438913011424031,0.2438913011424031,0.0,False
107,NZ_LT960781_0,1.0,1.0,1.0,1.0,True
108,NC_001264_0,0.2,0.0,0.0,0.0,False
109,NC_001264_1,0.1777777777777777,0.0,0.0,0.0,False
110,NC_001264_2,0.1555555555555555,0.0,0.0,0.0,True
111,NC_001264_3,0.1555555555555555,0.0,0.0,0.0,False
112,NC_001264_4,0.1111111111111111,0.0,0.0,0.0,False
113,NC_001264_5,0.1111111111111111,0.0,0.0,0.0,False
114,NC_001264_6,0.0888888888888888,0.0,0.0,0.0,False
115,NC_018631_0,1.0,1.0,1.0,1.0,True
116,NZ_CP021529_0,1.0,1.0,1.0,1.0,True
117,NC_007575_0,0.08,1.0,1.0,0.1333333333333333,False
118,NC_007575_1,0.08,0.7858503618864915,0.7852966879481612,0.1333333333333333,False
119,NC_007575_2,0.2,0.4000068513876915,0.4010410505146102,0.2,False
120,NC_007575_3,0.28,0.2272786097773108,0.2252807745293711,0.2,False
121,NC_007575_4,0.36,0.0,0.0,0.3333333333333333,True
122,NZ_CP023507_0,0.5,1.0,1.0,0.3,False
123,NZ_CP023507_1,0.5,0.0,0.0,0.7,True
124,NZ_CP022392_0,1.0,1.0,1.0,1.0,False
125,NC_013016_0,0.1,1.0,1.0,0.05,False
126,NC_013016_1,0.9,0.0,0.0,0.95,True
127,NZ_CP025028_0,1.0,1.0,1.0,1.0,True
128,NC_013416_0,0.0571428571428571,1.0,1.0,0.1875,False
129,NC_013416_1,0.2571428571428571,0.9506917803133432,0.9547904858550108,0.1875,False
130,NC_013416_2,0.2571428571428571,0.5964722091593858,0.5964722091593858,0.3125,False
131,NC_013416_3,0.0285714285714285,0.6417955762360881,0.6458942817777558,0.21875,False
132,NC_013416_4,0.4,0.0,0.0,0.09375,False
133,NZ_CP007631_0,1.0,1.0,1.0,1.0,True
134,NC_021887_0,0.8181818181818182,1.0,1.0,0.4285714285714285,True
135,NC_021887_1,0.1818181818181818,0.0,0.0,0.5714285714285714,False
136,NC_017278_0,0.2142857142857142,1.0,1.0,0.0909090909090909,False
137,NC_017278_1,0.5,0.0,0.0,0.9090909090909092,True
138,NC_017278_2,0.1428571428571428,0.4848797227856207,0.4816171663242533,0.0,False
139,NC_017278_3,0.1428571428571428,0.382180541888958,0.3863375952164075,0.0,False
140,NC_021878_0,0.1481481481481481,0.9614094356780732,0.9643456608158316,0.1481481481481481,False
141,NC_021878_1,0.074074074074074,1.0,1.0,0.1481481481481481,False
142,NC_021878_2,0.2222222222222222,0.4226582933202917,0.4208950432737248,0.2222222222222222,False
143,NC_021878_3,0.2222222222222222,0.2821203963403983,0.2829820157180205,0.2222222222222222,False
144,NC_021878_4,0.3333333333333333,0.0,0.0,0.2592592592592592,True
145,NC_012913_0,1.0,1.0,1.0,1.0,True
146,NC_017486_0,1.0,1.0,1.0,1.0,True
147,NC_010805_0,1.0,0.0,0.0,1.0,True
148,NC_021738_0,0.6666666666666666,1.0,1.0,0.6086956521739131,True
149,NC_021738_1,0.3333333333333333,0.0,0.0,0.391304347826087,False
150,NC_010981_0,0.238095238095238,0.4176298474654309,1.0,0.2222222222222222,False
151,NC_010981_1,0.238095238095238,1.0,0.2232388116468748,0.1851851851851851,False
152,NC_010981_2,0.3333333333333333,0.4843202780376955,0.0,0.1851851851851851,False
153,NC_010981_3,0.1428571428571428,0.0,0.5741875501838313,0.3333333333333333,False
154,NC_010981_4,0.0476190476190476,0.0215449509126825,0.7526518192959473,0.074074074074074,False
155,NC_008344_0,1.0,1.0,1.0,1.0,False
156,NC_018219_0,0.3,0.0,0.0,0.25,True
157,NC_018219_1,0.3,0.0,0.0,0.25,False
158,NC_018219_2,0.2,0.0,0.0,0.25,False
159,NC_018219_3,0.1,0.0,0.0,0.25,False
160,NC_018219_4,0.1,0.0,0.0,0.0,False
161,NC_008789_0,1.0,1.0,1.0,0.0,False
162,NZ_LN831036_0,1.0,1.0,1.0,1.0,True
163,NZ_CP023011_0,0.1,1.0,1.0,0.1538461538461538,False
164,NZ_CP023011_1,0.9,0.0,0.0,0.8461538461538461,True
165,NZ_CP022290_0,1.0,1.0,1.0,1.0,True
166,NZ_CP021907_0,1.0,1.0,1.0,1.0,True
167,NZ_CP023391_0,1.0,1.0,1.0,1.0,True
168,NC_021174_0,1.0,0.0,0.0,1.0,True
169,NC_014625_0,0.1666666666666666,1.0,1.0,0.5,False
170,NC_014625_1,0.75,0.376478015066565,0.3749054206729079,0.5,False
171,NC_014625_2,0.0833333333333333,0.0,0.0,0.0,False
172,NC_012578_0,1.0,1.0,1.0,1.0,True
173,NC_007404_0,0.0714285714285714,1.0,1.0,0.1428571428571428,False
174,NC_007404_1,0.1071428571428571,0.967092828257408,0.9692119222464814,0.1428571428571428,False
175,NC_007404_2,0.3214285714285714,0.4184107248525741,0.4205298188416476,0.0,False
176,NC_007404_3,0.3214285714285714,0.0,0.0,0.0,True
177,NC_007404_4,0.1785714285714285,0.1866994355380526,0.1888185295271261,0.7142857142857143,False
178,NZ_CP024413_0,1.0,1.0,1.0,1.0,True
179,NC_017256_0,0.1111111111111111,1.0,1.0,0.5,False
180,NC_017256_1,0.8888888888888888,0.0,0.0,0.5,True
181,NC_002677_0,1.0,1.0,1.0,1.0,True
182,NC_014216_0,1.0,1.0,1.0,1.0,True
183,NZ_AP014523_0,0.217391304347826,0.7038260698121468,1.0,0.3448275862068966,False
184,NZ_AP014523_1,0.391304347826087,0.3390548482590454,0.5391522671946636,0.3103448275862069,False
185,NZ_AP014523_2,0.3043478260869565,0.0,0.9971896304217122,0.0689655172413793,True
186,NZ_AP014523_3,0.0869565217391304,1.0,0.0,0.2758620689655172,False
187,NC_018529_0,0.9,0.0,0.0,0.5,True
188,NC_018529_1,0.1,0.0,0.0,0.5,False
189,NC_015460_0,0.3888888888888889,1.0,1.0,0.3142857142857143,False
190,NC_015460_1,0.5,0.8150767454939537,0.8145905226121739,0.2,False
191,NC_015460_2,0.0555555555555555,0.3842214129090828,0.3826023323886075,0.2571428571428571,True
192,NC_015460_3,0.0555555555555555,0.0,0.0,0.2285714285714285,False
193,NC_005364_0,0.0256410256410256,0.8424097671333259,0.8468823312200436,0.4615384615384615,False
194,NC_005364_1,0.0256410256410256,1.0,1.0,0.0769230769230769,False
195,NC_005364_2,0.0769230769230769,0.778916456362397,0.7777426685503176,0.0769230769230769,False
196,NC_005364_3,0.0769230769230769,0.4863556539107457,0.4836285876476348,0.0,False
197,NC_005364_4,0.1282051282051282,0.4325275070675026,0.4348239037500941,0.0,False
198,NC_005364_5,0.2307692307692307,0.2491379200070172,0.2504606555178539,0.0,False
199,NC_005364_6,0.1538461538461538,0.2388624016168911,0.2348213317950592,0.1538461538461538,False
200,NC_005364_7,0.282051282051282,0.0,0.0,0.2307692307692307,True
201,NC_017832_0,1.0,0.0,0.0,1.0,True
202,NC_002179_0,0.1,1.0,1.0,0.125,False
203,NC_002179_1,0.9,0.0,0.0,0.875,True
204,NC_007510_0,1.0,1.0,1.0,1.0,True
205,NC_014718_0,0.2142857142857142,0.0,0.0,1.0,False
206,NC_014718_1,0.6428571428571429,0.0,0.0,0.0,True
207,NC_014718_2,0.0714285714285714,0.0,0.0,0.0,False
208,NC_014718_3,0.0714285714285714,0.0,0.0,0.0,False
209,NC_010118_0,0.3243243243243243,0.0,0.0,1.0,False
210,NC_010118_1,0.3243243243243243,0.0,0.0,0.0,False
211,NC_010118_2,0.1891891891891892,0.0,0.0,0.0,False
212,NC_010118_3,0.081081081081081,0.0,0.0,0.0,False
213,NC_010118_4,0.054054054054054,0.0,0.0,0.0,False
214,NC_010118_5,0.027027027027027,0.0,0.0,0.0,False
215,NC_011985_0,1.0,1.0,1.0,1.0,True
216,NC_002977_0,1.0,1.0,1.0,1.0,True
217,NZ_CP008730_0,0.1818181818181818,1.0,1.0,0.0,False
218,NZ_CP008730_1,0.8181818181818182,0.0,0.0,1.0,True
219,NC_009839_0,0.0625,1.0,1.0,0.0454545454545454,False
220,NC_009839_1,0.0625,0.6385929178316023,0.6299203520267479,0.2272727272727272,False
221,NC_009839_2,0.3125,0.5464741280196254,0.5464741280196254,0.3636363636363636,False
222,NC_009839_3,0.5625,0.0,0.0,0.3636363636363636,True
223,NC_019908_0,0.6,0.5852622292642087,0.5647357703966528,0.3636363636363636,True
224,NC_019908_1,0.0666666666666666,1.0,0.0,0.4545454545454545,False
225,NC_019908_2,0.3333333333333333,0.0,1.0,0.1818181818181818,False
226,NZ_CP013467_0,1.0,1.0,1.0,1.0,True
