RefSeq,D_idx,Z_idx,Distance
NC_012806,0,0,68869
NC_016842,0,0,1340
NC_010528,0,0,35651
NC_010530,0,0,1163
NC_015312,0,0,85810
NC_021039,0,0,139787
NC_021016,0,0,74755
NC_021016,1,0,73067
NC_021038,0,0,615489
NC_016818,0,0,18010
NC_017521,0,0,177542
NC_017521,1,0,175951
NC_014145,0,0,29821
NC_020055,0,0,1599957
NC_020054,0,0,6277
NC_020504,0,1,225585
NC_021081,0,0,1450627
NC_021081,1,0,1448889
NC_021487,0,0,8409
NC_022444,0,1,91603
NZ_CP015285,0,0,501524
NZ_CP013119,0,0,9511
NC_012489,0,0,3718
NC_012489,1,0,2030
NZ_CP014159,0,0,6498
NZ_CP014159,1,0,8097
NZ_CP009416,0,0,1998
NC_009718,0,0,17773
NC_008229,0,0,1097
NZ_LT630287,0,0,2812
NZ_LT630287,1,0,1021
NZ_CP013213,0,0,21970
NC_010161,0,0,20023
NC_010622,0,0,50551
NZ_CP008941,0,0,580463
NZ_CP009122,0,1,77088
NC_015730,0,0,113450
NZ_AP018165,0,0,1403
NC_020908,0,0,34218
NC_020911,0,0,93839
NZ_LN794217,0,0,158964
NC_008786,0,0,45605
NZ_CP009312,0,1,84912
NC_008751,0,0,12422
NZ_CP004387,0,0,16394
NZ_CP017996,0,0,1013
NZ_CP016268,0,1,16406
NC_010506,0,0,23372
NZ_CP013934,0,0,5870
NC_008260,0,0,474
NZ_CP014525,0,0,738
NC_011898,0,0,7684
NC_011898,1,0,9394
NZ_CP023706,0,0,3124
NC_014394,0,0,1473
NZ_CP021425,0,0,1276
NC_010524,0,0,38589
NC_010581,0,0,44834
NC_011666,0,0,40896
NZ_AP014924,0,0,48
NC_011901,0,0,15060
NC_011901,1,0,16650
NZ_CP009467,0,0,30992
NZ_CP013187,0,0,251
NZ_CP014056,0,0,6604
NZ_CP009249,0,0,7270
NZ_CP009249,1,0,9567
NC_010681,0,0,45605
NZ_CP011311,0,0,53538
NZ_CP011311,1,0,51297
