RefSeq,Organism,Lineage,DoriC_oriC_0,DoriC_oriC_1,DoriC_oriC_2,DoriC_oriC_3,Sequence_length,False_order,GC_Concentration,oriC_middles_0,oriC_middles_1,oriC_middles_2,oriC_middles_3,oriC_middles_4,oriC_middles_5,oriC_middles_6,oriC_middles_7,oriC_middles_8,oriC_middles_9,Occurance_oriC_0,Occurance_oriC_1,Occurance_oriC_2,Occurance_oriC_3,Occurance_oriC_4,Occurance_oriC_5,Occurance_oriC_6,Occurance_oriC_7,Occurance_oriC_8,Occurance_oriC_9
NC_000908,Mycoplasma genitalium G37,"Bacteria, Firmicutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(578582.0, 579223.0)",,,,580076,True,0.3168912349416283,578299,480519.0,288765.0,104160.0,364656.0,,,,,,0.5,0.2222222222222222,0.1666666666666666,0.0555555555555555,0.0555555555555555,,,,,
NC_004842,Anaplasma marginale str. St. Maries,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Anaplasmataceae, Anaplasma","(1147944.0, 1148563.0)",,,,1197687,True,0.497626675416866,961452,1197437.0,1094769.0,206087.0,444179.0,,,,,,0.15,0.45,0.3,0.05,0.05,,,,,
NC_003103,Rickettsia conorii str. Malish 7,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, spotted fever group","(1268361.0, 1268755.0)",,,,1268755,False,0.3243880812292365,22375,,,,,,,,,,1.0,,,,,,,,,
NC_016621,Blattabacterium sp. (Cryptocercus punctulatus) str. Cpu chromosome,"Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Blattabacteriaceae, Blattabacterium","(508624.0, 509091.0)",,,,605745,True,0.238468332384089,4356,405911.0,477107.0,214572.0,144058.0,273823.0,553144.0,,,,0.2571428571428571,0.2,0.2,0.1428571428571428,0.0857142857142857,0.0857142857142857,0.0285714285714285,,,
NC_017360,Helicobacter pylori 35A chromosome,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter","(121533.0, 121683.0)","(119944.0, 120164.0)",,,1566655,False,0.3886707666971988,53865,1251196.0,657573.0,1107709.0,815881.0,,,,,,0.6666666666666666,0.2,0.0666666666666666,0.0333333333333333,0.0333333333333333,,,,,
NC_013418,Blattabacterium sp. (Periplaneta americana) str. BPLAN,"Bacteria, Bacteroidetes, Flavobacteria, Flavobacteriales, Blattabacteriaceae, Blattabacterium","(121248.0, 121717.0)",,,,636994,False,0.2821094076239336,636630,257261.0,149613.0,374323.0,422701.0,,,,,,0.3103448275862069,0.3448275862068966,0.2413793103448276,0.0689655172413793,0.0344827586206896,,,,,
NC_022886,Helicobacter pylori BM012A,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter","(1580824.0, 1580974.0)","(1579228.0, 1579455.0)",,,1660425,True,0.3887564930665341,1632646,1393089.0,455346.0,1060022.0,1227587.0,,,,,,0.5517241379310345,0.2413793103448276,0.1034482758620689,0.0689655172413793,0.0344827586206896,,,,,
NC_017040,Streptococcus pyogenes MGAS15252 chromosome,"Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus","(1750832.0, 231.0)","(1588.0, 1741.0)",,,1750832,False,0.3848067661546053,5069,1554113.0,,,,,,,,,0.9,0.1,,,,,,,,
NC_008816,Prochlorococcus marinus str. AS9601,"Bacteria, Cyanobacteria, Prochlorales, Prochlorococcaceae, Prochlorococcus","(1669719.0, 167.0)",,,,1669886,True,0.313215393146598,1659383,322586.0,1117152.0,798367.0,,,,,,,0.5,0.2142857142857142,0.1428571428571428,0.1428571428571428,,,,,,
NZ_CP023769,"Streptococcus pyogenes strain HarveyGAS chromosome, complete genome.","Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus","(1852749.0, 1852980.0)","(1357.0, 1510.0)",,,1852980,False,0.3834466642921132,4219,1655503.0,,,,,,,,,0.75,0.25,,,,,,,,
NZ_LT714196,"Streptococcus agalactiae isolate BM110 genome assembly, chromosome: I.","Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus","(2170254.0, 185.0)","(1548.0, 1701.0)",,,2170276,False,0.3552234830961592,2169576,,,,,,,,,,1.0,,,,,,,,,
NC_018413,Mycoplasma gallisepticum NC08_2008.031-4-3P chromosome,"Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(926629.0, 1886.0)",,,,926650,True,0.3159423730642637,838713,926525.0,478698.0,242648.0,,,,,,,0.5,0.2142857142857142,0.2142857142857142,0.0714285714285714,,,,,,
NC_018267,Wolbachia endosymbiont of Onchocerca ochengi,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Anaplasmataceae, Wolbachieae, Wolbachia","(374795.0, 375254.0)",,,,957990,True,0.3206995897660727,953273,371692.0,778154.0,244337.0,694425.0,,,,,,0.4736842105263157,0.3684210526315789,0.0526315789473684,0.0526315789473684,0.0526315789473684,,,,,
NC_006349,Burkholderia mallei ATCC 23344 chromosome 2,"Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Burkholderia","(2318246.0, 2318673.0)",,,,2325379,False,0.6898557181431499,1221,,,,,,,,,,1.0,,,,,,,,,
NC_017486,Lactococcus lactis subsp. lactis CV56 chromosome,"Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Lactococcus","(1726.0, 1881.0)",,,,2399458,False,0.3523974997686978,8930,,,,,,,,,,1.0,,,,,,,,,
NC_010280,Chlamydia trachomatis L2b/UCH-1/proctitis,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia","(1038573.0, 1038869.0)",,,,1038863,False,0.413283560970022,63,,,,,,,,,,1.0,,,,,,,,,
NC_000922,Chlamydophila pneumoniae CWL029,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydophila","(841385.0, 841738.0)",,,,1230230,True,0.4057769685343391,633646,844820.0,955068.0,,,,,,,,0.0909090909090909,0.8181818181818182,0.0909090909090909,,,,,,,
NC_000915,Helicobacter pylori 26695 chromosome,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter","(1608998.0, 1609149.0)","(1607396.0, 1607623.0)",,,1667867,True,0.3887318353321937,1645725,604106.0,143502.0,1185860.0,1019828.0,,,,,,0.4166666666666667,0.375,0.125,0.0416666666666666,0.0416666666666666,,,,,
NZ_LT906478,"Listeria ivanovii subsp. ivanovii strain NCTC11846 genome assembly, chromosome: 1.","Bacteria, Firmicutes, Bacilli, Bacillales, Listeriaceae, Listeria","(2919047.0, 2919550.0)","(1357.0, 1550.0)",,,2919550,False,0.3715137606822969,2914987,2414700.0,,,,,,,,,0.9,0.1,,,,,,,,
NC_015759,Weissella koreensis KACC 15510 chromosome,"Bacteria, Firmicutes, Lactobacillales, Weissella","(782995.0, 783195.0)","(780967.0, 781599.0)",,,1422478,False,0.3548314982727325,783995,,,,,,,,,,1.0,,,,,,,,,
NZ_CP009259,Helicobacter pylori SS1 chromosome,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter","(1537324.0, 1537475.0)","(1535730.0, 1535949.0)",,,1619098,True,0.3901660060107541,1611525,1019522.0,134719.0,781088.0,1180736.0,,,,,,0.391304347826087,0.3043478260869565,0.1304347826086956,0.1304347826086956,0.0434782608695652,,,,,
NC_022130,Helicobacter pylori SouthAfrica20,"Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae, Helicobacter","(1482080.0, 1482232.0)","(1480490.0, 1480711.0)",,,1622903,True,0.385660757297263,1474911,1036690.0,226.0,720975.0,865545.0,144184.0,1223397.0,,,,0.36,0.32,0.12,0.08,0.04,0.04,0.04,,,
