RefSeq,Organism,Lineage,DoriC_oriC_0,DoriC_oriC_1,DoriC_oriC_2,DoriC_oriC_3,Sequence_length,GC_Concentration,Time,oriC_middles_0,oriC_middles_1,oriC_middles_2,oriC_middles_3,oriC_middles_4,oriC_middles_5,oriC_middles_6,oriC_middles_7,oriC_middles_8,oriC_middles_9,Avg_Occurance_oriC_0,Avg_Occurance_oriC_1,Avg_Occurance_oriC_2,Avg_Occurance_oriC_3,Avg_Occurance_oriC_4,Avg_Occurance_oriC_5,Avg_Occurance_oriC_6,Avg_Occurance_oriC_7,Avg_Occurance_oriC_8,Avg_Occurance_oriC_9,Z_Occurance_oriC_0,Z_Occurance_oriC_1,Z_Occurance_oriC_2,Z_Occurance_oriC_3,Z_Occurance_oriC_4,Z_Occurance_oriC_5,Z_Occurance_oriC_6,Z_Occurance_oriC_7,Z_Occurance_oriC_8,Z_Occurance_oriC_9,D_Occurance_oriC_0,D_Occurance_oriC_1,D_Occurance_oriC_2,D_Occurance_oriC_3,D_Occurance_oriC_4,D_Occurance_oriC_5,D_Occurance_oriC_6,D_Occurance_oriC_7,D_Occurance_oriC_8,D_Occurance_oriC_9,Prediction_oriC_0,Prediction_oriC_1,Prediction_oriC_2,Prediction_oriC_3,Prediction_oriC_4,Prediction_oriC_5,Prediction_oriC_6,Prediction_oriC_7,Prediction_oriC_8,Prediction_oriC_9
NC_021916,Candidatus Sulcia muelleri str. Sulcia-ALF,"Bacteria, Bacteroidetes, Flavobacteriia, Flavobacteriales, Candidatus Sulcia","(15222.0, 15646.0)",,,,190733,0.2399742047784075,17.501962423324585,30656,150195.0,67692.0,97926.0,47779.0,121590.0,178.0,,,,0.5777777777777777,0.1333333333333333,0.0777777777777777,0.0777777777777777,0.0666666666666666,0.0333333333333333,0.0333333333333333,,,,0.1555555555555555,0.1555555555555555,0.1555555555555555,0.2666666666666666,0.1333333333333333,0.0666666666666666,0.0666666666666666,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-1.0789273952705685,-1.0249821512331652,-1.0249821512331652,-1.0099571537489114,-1.0182339198081758,-1.000015645645882,-1.000015645645882,,,
NC_018416,Candidatus Carsonella ruddii HC isolate Thao2000 chromosome,"Bacteria, Proteobacteria, Gammaproteobacteria, Candidatus Carsonella","(154894.0, 155208.0)",,,,166163,0.1417764484271468,21.84986424446106,15721,88600.0,159857.0,47743.0,56376.0,,,,,,0.5454545454545454,0.2954545454545454,0.1136363636363636,0.0227272727272727,0.0227272727272727,,,,,,0.0909090909090909,0.5909090909090909,0.2272727272727272,0.0454545454545454,0.0454545454545454,,,,,,1.0,0.0,0.0,0.0,0.0,,,,,,-1.0265138422285065,-0.6714540858541769,-1.0224807463143124,-1.0067215682995228,-1.0067215682995228,,,,,
NC_010118,Candidatus Sulcia muelleri GWSS,"Bacteria, Bacteroidetes, Flavobacteria, Flavobacteriales, Candidatus Sulcia","(27380.0, 27805.0)",,,,245530,0.2244084225960168,35.370688915252686,51232,198330.0,93816.0,166561.0,120507.0,937.0,,,,,0.6621621621621622,0.1621621621621621,0.0945945945945946,0.0405405405405405,0.027027027027027,0.0135135135135135,,,,,0.3243243243243243,0.3243243243243243,0.1891891891891892,0.081081081081081,0.054054054054054,0.027027027027027,,,,,1.0,0.0,0.0,0.0,0.0,0.0,,,,,-0.180655528886084,-0.9984107297816508,-1.0285946069867054,-1.0007875083442572,-1.0026399283464658,-1.0234242582282578,,,,
NC_004545,Buchnera aphidicola str. Bp (Baizongia pistaciae),"Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacteriales, Enterobacteriaceae, Buchnera","(1.0, 468.0)",,,,615980,0.2534140718854508,45.51130962371826,407334,614506.0,,,,,,,,,0.5555555555555556,0.4444444444444444,,,,,,,,,0.1111111111111111,0.8888888888888888,,,,,,,,,1.0,0.0,,,,,,,,,-1.0551995036497437,1.0289607323175316,,,,,,,,
NC_006055,Mesoplasma florum L1,"Bacteria, Firmicutes, Mollicutes, Entomoplasmatales, Entomoplasmataceae, Mesoplasma","(792925.0, 793224.0)",,,,793224,0.2702048853791615,51.95564389228821,793074,70566.0,,,,,,,,,0.5,0.5,,,,,,,,,0.75,0.25,,,,,,,,,0.25,0.75,,,,,,,,,1.0001566512189042,0.0821226202820275,,,,,,,,
NC_017429,Chlamydia trachomatis G/9768 chromosome,"Bacteria, Chlamydiae, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia","(720248.0, 720544.0)",,,,1042810,0.4130915507139364,59.705174684524536,720268,9.0,,,,,,,,,0.5757575757575758,0.4242424242424242,,,,,,,,,0.8181818181818182,0.1818181818181818,,,,,,,,,0.3333333333333333,0.6666666666666666,,,,,,,,,1.2663988644638977,-0.9989859898719766,,,,,,,,
NC_017042,Rickettsia rhipicephali str. 3-7-female6-CWPP chromosome,"Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, spotted fever group","(110342.0, 110728.0)",,,,1290368,0.3240563932149588,71.97515416145325,80653,810092.0,1166587.0,1043683.0,353571.0,,,,,,0.4635294117647059,0.1894117647058823,0.1788235294117647,0.1188235294117647,0.0494117647058823,,,,,,0.6470588235294118,0.1176470588235294,0.1176470588235294,0.0588235294117647,0.0588235294117647,,,,,,0.28,0.32,0.24,0.12,0.04,,,,,,0.2626336109503908,-1.0286661326070474,-1.0039592898713154,-1.008705104258632,-1.020055190143215,,,,,
NC_017503,Mycoplasma gallisepticum str. F chromosome,"Bacteria, Tenericutes, Mollicutes, Mycoplasmataceae, Mycoplasma","(977591.0, 1885.0)",,,,977612,0.3139589121246466,79.42037773132324,964919,573943.0,877785.0,173867.0,,,,,,,0.3388888888888889,0.2888888888888888,0.1888888888888888,0.1833333333333333,,,,,,,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.1666666666666666,,,,,,,0.4,0.3,0.1,0.2,,,,,,,-0.8566901005153627,-1.1018245262276285,-1.002032856831744,-1.0091011491399984,,,,,,
NC_020419,Uncultured Termite group 1 bacterium phylotype Rs-D17 DNA,"Bacteria, Elusimicrobia, environmental samples","(1125789.0, 981.0)",,,,1125857,0.3520740200576094,77.21713447570801,204,224241.0,,,,,,,,,0.5,0.5,,,,,,,,,0.75,0.25,,,,,,,,,0.25,0.75,,,,,,,,,1.0001566512189042,0.0821226202820275,,,,,,,,
NC_002506,Vibrio cholerae O1 biovar eltor str. N16961 chromosome 1I,"Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Vibrio","(247.0, 1133.0)",,,,1072315,0.4691354685889873,88.27295541763306,1925,880914.0,98333.0,455120.0,,,,,,,0.4583333333333333,0.2916666666666667,0.125,0.125,,,,,,,0.75,0.0833333333333333,0.0833333333333333,0.0833333333333333,,,,,,,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.5,,,,,,,0.7036281324302847,-1.004596413430229,-1.004596413430229,-1.1740103073162205,,,,,,
